constraint,set,element,class,resolved,h_pooled,h2023,h2024,h2025,psi1,t1,psi1_identified_NS,psi1_SN,psi1_drop2023,psi1_drop2024,psi1_drop2025,L_f,L_source,T1_NS,T1_SN,psi2_P-NS,psi2_H-NEOK,psi2_P-NOK,psi2_P-SS,psi2_P-NS-wind2gas,ptdf_P-NS,otdf_P-NS,n_cont_modelled,cont_declared,psi2_P-NS_x0.5,psi2_P-NS_x2,psi2_P-NS_x1_inner,psi2_identified_NS,psi2_SN,T2_NS,T2_SN,psi2_over_psi1,sign_agree,ptdf_P-SS,otdf_P-SS,psi2_P-SS_x0.5,psi2_P-SS_x2,psi2_P-SS_x1_inner
TMP266_27514,n_s_corridor,XFMR FRANKLN5 - FRANKLN5,U,False,4103,1417,1001,1685,0.0298080546478553,4.799837604355134,True,False,0.0271700733455045,0.0089923745335943,0.0662201003909371,100.0,registry Temp_Flowgate NormLimit,3354.797928995172,,,,,,,,,,,,,,,,,,,,,,,,
TMP477_24580,n_s_corridor,XFMR VIOLA7 - VIOLA7,B,True,1236,463,773,0,-0.1352909190053044,-6.263965170180335,False,True,-0.1228174362536794,-0.1467590382115761,-0.1357920041415239,409.2,2026 archive (same Monitored Facility),,3024.593246971412,-0.0558237803443667,-0.0677917655237066,-0.0651696905387922,0.0310808525661112,-0.0414967152558669,-0.0174452059537049,-0.0558237803443667,1.0,1.0,-0.0603366024596305,-0.0486995593564428,-0.061957403402318,False,True,,7330.20941032155,0.4126203055962536,True,,,,,
EDWXFR87CRAI,n_s_corridor,XFMR EDWV - EDWV,B,True,802,43,96,663,0.0075090862005014,2.8522156721466367,True,False,0.006680262662322,0.0112247287487942,0.0126294508838577,167.0,registry Flowgates seasonal Normal mean,22239.723388559265,,-0.004990708850222,-0.0095906327762951,-0.0054344385563339,0.0042324238083053,-0.0089899928703618,0.002387007703349,-0.004990708850222,1.0,1.0,-0.006511521655568,-0.0033695278712157,-0.0081339149128957,False,False,,,-0.6646226607291789,False,,,,,
TMP142_25323,n_s_corridor,LN WAVERLY7 - LACYGNE,A,True,732,732,0,0,-0.0539264410158085,-6.069416251240194,False,True,6.09257245811681e-14,-0.0456677604537095,-0.0600220908728513,1183.0,"registry Temp_Flowgate NormLimit (same element, other id)",,21937.290459298147,-0.0556697499826813,-0.079720408438035,-0.0576896933480055,-0.0143784962223398,-0.0143761113069596,-0.0556697499826813,,0.0,0.0,-0.0549942474833306,-0.0567628890867972,-0.0601102642861987,False,True,,21250.319973918115,1.0323275360664308,True,,,,,
NASXFRNASHAW,n_s_corridor,XFMR NASHUA - NASHUA,U,False,644,45,330,269,0.0724266641737242,7.714137114692296,True,False,0.0690957909235547,0.0342380290083214,0.0882842691950515,679.25,2026 archive (same Monitored Facility),9378.452090113333,,,,,,,,,,,,,,,,,,,,,,,,
TEMP61_22964,n_s_corridor,LN WR_SMKHL - SUMM,B,True,634,4,629,1,-0.0346613072543279,-1.979610420713856,False,False,-0.0321853102693742,-0.0053028346401034,-0.0428313458687686,346.5,2026 archive (same Constraint Name),,,0.0110594536618856,0.0251305869751504,0.0141028552233886,-0.017299717942762,0.0440002936119132,0.0087064944869233,0.0110594536618856,1.0,1.0,0.0112594408465291,0.0107247213866042,0.0062348445063947,True,False,31330.661585404472,,-0.3190720298209378,,,,,,
TMP122_26551,n_s_corridor,LN WR_SMKHL - SUMM,B,True,607,297,131,179,-0.0294037362536121,-1.302682703280566,False,False,-0.1384025752682491,-0.0355812053224545,0.0459580069882262,346.5,2026 archive (same Monitored Facility),,,0.0116881376698565,0.0298151167142991,0.0146204753940418,-0.0164387902429977,0.0430270645192387,0.0087064944869233,0.0116881376698565,1.0,1.0,0.011848780930475,0.0113644102534317,0.0066130381320953,True,False,29645.44136861233,,-0.3975051867233597,,,,,,
TMP501_28727,n_s_corridor,LN WR_SMKHL - SUMM,B,True,593,58,238,297,-0.0305501324305784,-1.613853105973509,False,False,-0.0370049204591328,-0.061762335281244,0.0358979171723447,346.5,2026 archive (same Monitored Facility),,,0.0110594536618856,0.0251305869751504,0.0141028552233886,-0.017299717942762,0.0440002936119132,0.0087064944869233,0.0110594536618856,1.0,1.0,0.0112594408465291,0.0107247213866042,0.0062348445063947,True,False,31330.661585404472,,-0.36201000722392657,,,,,,
TP1136_32015,n_s_corridor,LN GORD - MAIZ,B,True,515,0,0,515,-0.0025405376565427,-0.59191554717477,False,False,-0.0023745920233573,-0.0010893721868016,0.0,278.24,2026 archive (same Constraint Name),,,0.0058810249324597,0.0072865422029594,0.0075867672729282,-0.0102796748546917,0.0102041941603045,0.0058810249324597,,0.0,0.0,0.0057138218719353,0.0061346534756145,0.0074082814315895,True,False,47311.48111008398,,-2.314874143791639,,,,,,
TMP777_28815,n_s_corridor,LN FIRSTCRK - ROANRDGE,U,False,513,12,488,13,0.0207460857997081,7.937467173756959,True,False,0.0198801500184455,0.0512656947572452,0.0187760472661202,270.75,2026 archive (same Constraint Name),13050.65459643517,,,,,,,,,,,,,,,,,,,,,,,,
COPSTJCPFRSJ,n_s_corridor,LN COOPER - ST_JOE,A,True,508,285,126,97,0.1689387862076613,3.87932210165448,True,False,0.2419640003340951,0.1542484512079993,0.1400107226853186,1087.45,2026 archive (same Monitored Facility),6436.946922675857,,0.0986577873764351,0.300117227428835,0.1030185228376637,-0.0152848427015558,0.1116777834540997,0.0701439703729917,0.0986577873764351,2.0,1.0,0.0973287998037776,0.1009215329028625,0.0858405534314036,True,False,11022.444643429564,,0.5839854162037362,True,,,,,
SMOSUMMULCIR,n_s_corridor,LN WR_SMKHL - SUMM,B,True,476,383,33,60,-0.0080297360869347,-0.6211687935040282,False,False,-0.2886036462058287,0.016109389291367,0.0060891884280427,350.35,2026 archive (same Constraint Name),,,0.0087064944869233,0.0217494079278572,0.0115074763905199,-0.0163195332487456,0.0403217808330658,0.0087064944869233,,0.0,0.0,0.0088346527562614,0.0085195772354874,0.0038138162338335,True,False,40240.07601753006,,-1.0842815246555568,,,,,,
TMP427_25433,n_s_corridor,LN COLBY3 - ATWOOD,U,False,472,64,231,177,0.0040745455819905,1.4093555318346982,False,False,0.0037515143835022,0.0068163374969258,0.0023019835149275,74.62,2026 archive (same Constraint Name),,,,,,,,,,,,,,,,,,,,,,,,,
TMP845_30027,n_s_corridor,LN MARSHAL3 - KNOB,B,True,464,0,91,373,0.365342250803368,4.385830638244778,True,False,0.3743217369759385,0.0880611164238407,0.8499232728551627,63.7,2026 archive (same Constraint Name),174.35705796394237,,0.008221759113877,-4.1038641094248636e-17,0.008221759113877,2.5649150683905397e-18,0.030739421008555,0.0066802667314269,0.008221759113877,1.0,1.0,0.008221759113877,0.008221759113877,0.008221759113877,True,False,7747.733680555625,,0.022504265783105548,True,,,,,
TMP338_28287,n_s_corridor,LN STILWELL - REDEL5,U,False,460,198,65,197,-0.0738516544358588,-5.1686521372657,False,True,-0.0753003682924408,-0.0745294400317161,-0.0701982941218113,310.62,2026 archive (same Constraint Name),,4205.999207096678,,,,,,,,,,,,,,,,,,,,,,,
LECLAWSTR87,n_s_corridor,LN LEC - LAWH,A,True,458,54,185,219,0.045811457900019,2.0324242862334447,True,False,0.0500565845138207,0.1148293401056264,0.0214891054116699,159.75,registry Flowgates seasonal Normal mean,3487.1188851628654,,-0.0027480877868072,0.0010305074416442,-0.0027528494925707,0.0001595727581336,0.0003049781530058,-0.0026572191399705,-0.0027480877868072,1.0,1.0,-0.0027883640917863,-0.0027685030981603,-0.0027587941559293,False,False,,,-0.059986909667986366,False,,,,,
TMP840_28870,n_s_corridor,XFMR SIBLEY - SIBLEY,A,True,415,415,0,0,0.0813094975754081,7.46047316991374,True,False,-2.4945970655905125e-17,0.0803635955616591,0.0756096591197667,400.0,"registry Temp_Flowgate NormLimit (same element, other id)",4919.474500860514,,-0.0263355762495976,-0.0372290796905093,-0.0264760456894931,0.0052406110425878,-0.0198989889443466,-0.0057550546144779,-0.0263355762495976,1.0,1.0,-0.0296840065995137,-0.0221114738031931,-0.0270788993566264,False,True,,15188.579745093366,-0.3238929895634079,False,,,,,
TMP486_31685,n_s_corridor,LN OVRLD_PK - MERRIAM2,U,False,392,0,0,392,-0.0467242420479391,-3.184058090576415,False,True,-0.0473431775433676,-0.0367403033929251,-2.1200539729410235e-11,200.0,registry Temp_Flowgate NormLimit,,4280.433266200442,,,,,,,,,,,,,,,,,,,,,,,
TMP634_28149,n_s_corridor,XFMR SIBLEY - SIBLEY,A,True,384,110,239,35,0.0874570307122446,8.252076737508625,True,False,0.0786823359448357,0.0787666006947781,0.0780734712386562,400.0,registry Temp_Flowgate NormLimit,4573.674600457218,,0.001208814606138,0.0024109922792064,0.0008030512817231,-0.0036977882186859,0.003150729870794,-0.0057550546144779,0.001208814606138,1.0,1.0,0.0021042935333322,-6.373397152344596e-05,0.0017828175239978,False,False,,,0.013821811651887667,True,,,,,
TMP662_28227,n_s_corridor,LN SPERVI1 - MULGRE2,A,True,376,135,166,75,-0.1185704022153303,-3.40561302250064,False,True,-0.1115722342234454,-0.1441148523841074,-0.0936145254165001,370.512,2026 archive (same Constraint Name),,3124.8270485507005,-0.0281229463015693,-0.0408484448841709,-0.0244237295005546,-0.026191146208184,-0.0053209473967128,-0.0127820960710204,-0.0281229463015693,1.0,1.0,-0.02953710685151,-0.0254619537012047,-0.031802553061236,False,True,,13174.72202332246,0.23718352789675537,True,,,,,
TMP436_28110,n_s_corridor,LN MULGRE2 - ELLSWTP3,U,False,357,96,141,120,0.0143436272395426,2.734912121488031,True,False,0.0234764827947456,0.0051476245479476,0.0176271554409676,91.91,2026 archive (same Constraint Name),6407.723685583623,,,,,,,,,,,,,,,,,,,,,,,,
TMP564_26167,n_s_corridor,LN N345 - BLACKBRY,U,False,312,89,10,213,0.010292535925532,1.1691017196745126,False,False,-0.0009264236304295,0.0111158254664838,0.0186911872329435,787.55,2026 archive (same Monitored Facility),,,,,,,,,,,,,,,,,,,,,,,,,
TMP867_31042,n_s_corridor,XFMR HAWTHORN - HAWTHORN,A,True,310,0,0,310,0.0350136324739977,4.363668076293841,True,False,0.0342141494626369,0.0416945213640343,0.0,650.0,"registry Flowgates seasonal Normal mean (same element, other id)",18564.197830165445,,-0.0001512836247003,0.0375965231170394,0.000886634266416,-0.0006589661998457,0.013688547689449,-0.0001512836247003,,0.0,0.0,0.000942017044516,-0.0013624896054364,-0.0014689309411814,False,False,,,-0.004320706365232123,False,,,,,
TMP765_28745,n_s_corridor,LN SEWARD3 - ST-JOHN,B,True,296,6,290,0,0.0458640818020559,5.295641438599912,True,False,0.0434890968704988,-0.0234913154263933,0.0381912446801195,101.0,"registry Temp_Flowgate NormLimit (same element, other id)",2202.1589887246464,,0.0042583549533693,0.0100188061066267,0.004915925949556,-0.0026967624829494,0.003331741951015,0.0033470832776613,0.0042583549533693,1.0,1.0,0.0045969775918814,0.0036820181533585,0.0043606544756618,False,False,,,0.09284727364101324,True,,,,,
TMP696_28306,n_s_corridor,LN LACYGNE - STILWELL,A,True,293,93,41,159,-0.0696740816488773,-2.352511872771542,False,True,-0.0598625155644239,-0.059342551007692,-0.0930421168458971,1626.4,2026 archive (same Constraint Name),,23342.970032906163,-0.1086510470647837,-0.1665479893311852,-0.1170189089671376,0.0183883794380822,-0.089722273078159,-0.0650929015507196,-0.1086510470647837,1.0,1.0,-0.1085714995180163,-0.1089517458757773,-0.1240685509117102,False,True,,14969.022793036236,1.5594184306917875,True,,,,,
TEMP37_25116,n_s_corridor,LN COLI - TECH,U,False,287,287,0,0,-0.019853053051133,-2.0034432769474044,False,True,-1.576882113335879e-12,-0.0082375996116003,-0.0219138083861921,,none,,,,,,,,,,,,,,,,,,,,,,,,,
CRALENCRALEN,n_s_corridor,LN CRAIG - LENEXA,B,True,278,116,146,16,-0.0563769480758293,-3.303228929514358,False,True,-0.0620645743377599,-0.0801742099599877,-0.0374379579643819,338.2,2026 archive (same Constraint Name),,5998.905785838339,-0.0088449108756751,-0.0117760642558217,-0.0093196456894303,-0.0010666001342592,-0.003337715071529,-0.0052146544343076,-0.0088449108756751,1.0,1.0,-0.0087792695430963,-0.008802056040467,-0.0078508693245952,False,True,,38236.67697207705,0.15688878482351215,True,,,,,
TMP124_29862,n_s_corridor,LN JAY_HAWK - FRANKLN5,B-,True,273,0,259,14,0.006035506716184,0.1056328289297202,False,False,-0.0073113410648548,-0.0977735019938164,-0.0111504362179363,175.63,2026 archive (same Monitored Facility),,,-0.0101730307914197,-0.0131497566065938,-0.0106786490420113,0.0048078383359476,-0.0090896960137466,-0.0101730307914197,,0.0,0.0,-0.0100349199119134,-0.0103934914078178,-0.0120629192665411,False,True,,17264.274885330404,-1.6855305229204824,,,,,,
TP1121_31979,n_s_corridor,LN JAY_HAWK - FRANKLN5,B-,True,269,0,0,269,-0.0259764755455504,-1.8083592089360132,False,False,-0.0255946938179378,0.0124071066678152,0.0,175.63,2026 archive (same Constraint Name),,,-0.0109333638697681,-0.0144482384260547,-0.0114875706533232,0.005614563745862,-0.0104711476179335,-0.0101730307914197,-0.0109333638697681,1.0,1.0,-0.0106453269199518,-0.011354869635623,-0.0130770622608794,False,True,,16063.674646888448,0.4208948150258557,,,,,,
TEMP82_22539,n_s_corridor,LN SHAYS - MULGRE2,B,True,263,69,11,183,0.0277632443218173,0.8700943586250574,False,False,0.0528515612397158,0.0492358501678541,-0.0152414861289615,293.91,2026 archive (same Monitored Facility),,,0.0148490242688159,0.0395384089981357,0.0163480336287841,-0.0061755568819429,0.0248036256288498,0.0118062841145876,0.0148490242688159,1.0,1.0,0.0163246928261034,0.0128105491195875,0.0124076953144853,True,False,19793.219721327667,,0.5348447067890777,,,,,,
TEMP50_23126,sps_tie,XFMR POTTER_S - POTTER_S,A,True,2231,925,801,505,0.0472576218884671,2.5375737512830128,True,False,0.060264406452528,0.0417721125194157,0.034190736304101,505.895,2026 archive (same Monitored Facility: TMP630_33215|TMP555_29231|TP1306_33131|TMP200_25341|TMP775_29068|TEMP50_23126|TMP968_32744|TP1113_31962),10705.04565790392,,0.1039192406791846,0.0349628864761696,0.0323631508566797,0.3692175093282093,0.119138719425816,,,1.0,1.0,,,,True,False,1370.1814979481205,,7.812866889485066,True,0.3108600342208556,0.3692175093282093,0.3732010144458092,0.3624835997544134,0.3684717624053611
TMP555_29231,sps_tie,XFMR POTTER_S - POTTER_S,A,True,1638,0,694,944,0.1321134210643651,3.496223835227201,True,False,0.1193626756478562,0.220062088170477,0.0290492018669147,508.69,2026 archive (same Constraint Name),3850.403659989762,,0.0875595034568509,0.0303537046137877,0.0276172725138088,0.3108600342208556,0.100159994200935,,,0.0,0.0,,,,True,False,1636.3956250438835,,2.3529784613586378,True,0.3108600342208556,,0.3102322785491488,0.3114514415602343,0.3102033853574503
TMP200_25341,sps_tie,XFMR POTTER_S - POTTER_S,A,True,1421,705,311,405,0.0049287837907938,0.212396844050423,False,False,0.0074677074477615,0.0173291193103723,0.0120914356525352,503.1,2026 archive (same Constraint Name),,,0.0875595034568509,0.0303537046137877,0.0276172725138088,0.3108600342208556,0.100159994200935,,,0.0,0.0,,,,True,False,1618.4132555379067,,63.07033284793172,,0.3108600342208556,,0.3102322785491488,0.3114514415602343,0.3102033853574503
SPSNMTIES,sps_tie,Multi-Element Constraint,partial 2/10,True,1211,121,822,268,0.0892276858780036,2.35032372133231,True,False,0.0793721585051917,0.0970488327530249,0.0931576490137611,1018.0,2026 archive (same Monitored Facility: SPSNMTIES|SPPSPSTIES),11409.014926060716,,0.0079482613948214,1.813675274133332e-05,1.499450734729515e-05,0.0407869033849875,0.0073757932532348,,,0.0,0.0,,,,True,False,24958.99211546167,,0.4571104022663249,True,0.0407869033849875,,0.0405903558554352,0.0409576325869995,0.0407861637309883
SPPSPSTIES,sps_tie,Multi-Element Constraint,partial 6/9,True,1097,396,348,353,0.2826124673651059,2.359435101759394,True,False,0.2688776292820286,0.3047845213005728,0.2197214949767125,1018.0,2026 archive (same Monitored Facility: SPSNMTIES|SPPSPSTIES),3602.105772229963,,0.0817431232991028,-0.1048637575538844,-0.0865156403306063,0.8530761502074615,0.0802219273725247,,,0.0,0.0,,,,True,False,1193.328403041663,,3.018536861310424,True,0.8530761502074615,,0.8529174308480898,0.8534032021952899,0.8549595732940628
TMP775_29068,sps_tie,XFMR POTTER_S - POTTER_S,A,True,762,30,398,334,-0.0061280992224577,-0.1319560903711324,False,False,-0.0170551119734289,0.0123142967292908,-0.0319052134778767,508.69,2026 archive (same Constraint Name),,,0.0875595034568509,0.0303537046137877,0.0276172725138088,0.3108600342208556,0.100159994200935,,,0.0,0.0,,,,True,False,1636.3956250438835,,-50.72699101895153,,0.3108600342208556,,0.3102322785491488,0.3114514415602343,0.3102033853574503
TMP703_28546,sps_tie,LN FPLSWTCH - WDWRD1,B,True,411,45,337,29,-0.0061042919382983,-0.1695909057777087,False,False,-0.0098647242361057,0.1859392496226972,-0.0220214819613245,119.21,2026 archive (same Monitored Facility: TEMP10_32889|FPLWDWCLEMEN|FPLWDWMORNIN|FPLWDWROSMOO|FPLWDWCRECTN|TP1153_33135|WODFPLWODXFR|WDWFPLIODRED|10871   _FPLSWTCH8691          A             LN|TP1072_31891),,,-0.0158196368432708,-0.0300686328466935,-0.0287271858660694,0.0514863249558561,-0.0126032242303521,,,1.0,1.0,,,,True,False,2315.372093506568,,-8.434446693617508,,0.0321349758610229,0.0514863249558561,0.0539786024607731,0.0471657720671124,0.0518354007795686
