plant_code,supply_class,tons,n_ranks,ranks
602,bituminous,637185.0,1,bituminous:100%
876,subbituminous,1685026.0,1,subbituminous:100%
879,subbituminous,1314621.0,1,subbituminous:100%
983,bituminous,2800407.0,1,bituminous:100%
1040,bituminous,20198.0,1,bituminous:100%
1384,bituminous,74887.0,1,bituminous:100%
2828,bituminous,3695235.0,1,bituminous:100%
2832,bituminous,2282540.0,1,bituminous:100%
2876,bituminous,2201110.0,1,bituminous:100%
2936,bituminous,494.0,1,bituminous:100%
3130,waste,1909779.0,1,waste:100%
3935,bituminous,3546419.0,1,bituminous:100%
3943,bituminous,1240609.0,1,bituminous:100%
3944,bituminous,4210003.0,1,bituminous:100%
3948,bituminous,1473554.0,1,bituminous:100%
3954,bituminous,1816379.0,1,bituminous:100%
6004,bituminous,456846.0,1,bituminous:100%
6018,bituminous,1022482.0,1,bituminous:100%
6041,bituminous,3174128.0,1,bituminous:100%
6166,bituminous,67202.0,1,bituminous:100%
6264,bituminous,2606736.0,1,bituminous:100%
7213,bituminous,307989.0,1,bituminous:100%
8102,bituminous,4442137.0,1,bituminous:100%
10113,waste,729031.0,1,waste:100%
10151,waste,539122.0,1,waste:100%
10603,waste,445961.0,1,waste:100%
50397,bituminous,107142.0,1,bituminous:100%
50481,bituminous,715749.0,1,bituminous:100%
50776,waste,525102.0,2,waste:99%;bituminous:1%
50888,waste,461540.0,1,waste:100%
50900,bituminous,140756.0,1,bituminous:100%
50974,waste,84138.0,2,waste:84%;bituminous:16%
54634,waste,1277460.0,1,waste:100%
56671,bituminous,1747935.0,1,bituminous:100%
56808,bituminous,653731.0,1,bituminous:100%
