iso,year,out_class,band,in_class,dTWh_per_unit_mult,n_obs,stderr,confidence,metric
ERCOT,2023,CC_CHP,econ_high,system,0.111338,4,0.101155,med,lmp
ERCOT,2023,CC_CHP,econ_low,system,0.043467,2,0.091,low,lmp
ERCOT,2023,CC_CHP,peak,system,0.03839,1,0.083912,low,lmp
ERCOT,2023,CC_REGULAR,econ_high,system,0.134394,6,0.163144,low,lmp
ERCOT,2023,CC_REGULAR,econ_low,system,-0.021733,1,0.045532,low,lmp
ERCOT,2023,CC_REGULAR,peak,system,-0.100751,4,0.048801,high,lmp
ERCOT,2023,COAL_LIGNITE,econ_high,system,-0.202838,5,0.178422,med,lmp
ERCOT,2023,COAL_LIGNITE,econ_low,system,0.022054,4,0.167102,low,lmp
ERCOT,2023,COAL_PRB,committed,system,-0.255592,4,0.077965,high,lmp
ERCOT,2023,COAL_PRB,econ_high,system,-0.14094,7,0.218456,low,lmp
ERCOT,2023,COAL_PRB,econ_low,system,0.087499,1,0.090988,low,lmp
ERCOT,2023,COAL_PRB,peak,system,-0.044714,4,0.014096,high,lmp
ERCOT,2023,CT_CHP,committed,system,-0.114212,2,0.156294,low,lmp
ERCOT,2023,CT_CHP,econ_high,system,0.171326,2,0.234613,low,lmp
ERCOT,2023,CT_CHP,econ_low,system,3e-06,1,0.000201,low,lmp
ERCOT,2023,CT_CHP,peak,system,-0.076141,2,0.104173,low,lmp
ERCOT,2023,CT_PEAKER,committed,system,-0.636995,7,0.361493,med,lmp
ERCOT,2023,CT_PEAKER,econ_high,system,0.086931,1,0.182127,low,lmp
ERCOT,2023,CT_PEAKER,peak,system,7.4e-05,1,0.005167,low,lmp
ERCOT,2023,ST_GAS,committed,system,-0.475849,7,0.109114,high,lmp
ERCOT,2023,ST_GAS,econ_high,system,0.114439,4,0.096332,med,lmp
ERCOT,2023,ST_GAS,econ_low,system,-0.071385,1,0.097727,low,lmp
ERCOT,2023,CC_CHP,econ_high,cf_emd,0.0,0,0.0,low,shape
