INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2024-10-13T08:00:00-00:00,2024-10-13T08:05:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.28557,1,1
2024-10-13T08:05:00-00:00,2024-10-13T08:10:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.0017,2,1
2024-10-13T08:10:00-00:00,2024-10-13T08:15:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,3,1
2024-10-13T08:15:00-00:00,2024-10-13T08:20:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00239,4,1
2024-10-13T08:20:00-00:00,2024-10-13T08:25:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.34958,5,1
2024-10-13T08:25:00-00:00,2024-10-13T08:30:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.64641,6,1
2024-10-13T08:30:00-00:00,2024-10-13T08:35:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00338,7,1
2024-10-13T08:35:00-00:00,2024-10-13T08:40:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.32883,8,1
2024-10-13T08:40:00-00:00,2024-10-13T08:45:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00507,9,1
2024-10-13T08:45:00-00:00,2024-10-13T08:50:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00169,10,1
2024-10-13T08:50:00-00:00,2024-10-13T08:55:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.74276,11,1
2024-10-13T08:55:00-00:00,2024-10-13T09:00:00-00:00,2024-10-13,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.43094,12,1
2024-10-13T09:00:00-00:00,2024-10-13T09:05:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00242,1,1
2024-10-13T09:05:00-00:00,2024-10-13T09:10:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00121,2,1
2024-10-13T09:10:00-00:00,2024-10-13T09:15:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00171,3,1
2024-10-13T09:15:00-00:00,2024-10-13T09:20:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.00343,4,1
2024-10-13T09:20:00-00:00,2024-10-13T09:25:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,5,1
2024-10-13T09:25:00-00:00,2024-10-13T09:30:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,6,1
2024-10-13T09:30:00-00:00,2024-10-13T09:35:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,7,1
2024-10-13T09:35:00-00:00,2024-10-13T09:40:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,8,1
2024-10-13T09:40:00-00:00,2024-10-13T09:45:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,9,1
2024-10-13T09:45:00-00:00,2024-10-13T09:50:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,10,1
2024-10-13T09:50:00-00:00,2024-10-13T09:55:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,11,1
2024-10-13T09:55:00-00:00,2024-10-13T10:00:00-00:00,2024-10-13,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,12,1
2024-10-13T10:00:00-00:00,2024-10-13T10:05:00-00:00,2024-10-13,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,1,1
