"C","Day-Ahead and Real-Time Monthly LMP Index Report"
"C","Filename: dartmonthlylmpindex_2023.csv"
"C","Report for: 2023"
"C","Report generated: 06/12/2026 13:20:55 EDT"
"H","Month Begin","Location ID","Location Name","Day Ahead On-Peak Avg LMP $/MWh","Day Ahead Off-Peak Avg LMP $/MWh","Day Ahead All Hours Avg LMP $/MWh","Real Time On-Peak Avg LMP $/MWh","Real Time Off-Peak Avg LMP $/MWh","Real Time All Hours Avg LMP $/MWh"
"H","Date","Number","String","Number","Number","Number","Number","Number","Number"
"D","01/01/2023",4000,".H.INTERNAL_HUB",55.82,43.63,49.14,54.39,47.32,50.51
"D","01/01/2023",4001,".Z.MAINE",55.71,43.39,48.95,54.3,46.95,50.27
"D","01/01/2023",4002,".Z.NEWHAMPSHIRE",56.39,43.95,49.57,54.89,47.58,50.88
"D","01/01/2023",4003,".Z.VERMONT",55.87,43.45,49.06,53.21,46.33,49.44
"D","01/01/2023",4004,".Z.CONNECTICUT",54.13,42.51,47.76,52.81,46.19,49.18
"D","01/01/2023",4005,".Z.RHODEISLAND",55.58,43.62,49.02,54.26,47.32,50.45
"D","01/01/2023",4006,".Z.SEMASS",56.4,44.15,49.68,55.06,47.88,51.13
"D","01/01/2023",4007,".Z.WCMASS",55.78,43.62,49.11,54.29,47.26,50.43
"D","01/01/2023",4008,".Z.NEMASSBOST",56.36,43.96,49.56,55.07,47.74,51.05
"D","02/01/2023",4000,".H.INTERNAL_HUB",64.52,73.74,69.35,54.3,75.12,65.21
"D","02/01/2023",4001,".Z.MAINE",63.98,73.73,69.09,53.71,75.25,64.99
"D","02/01/2023",4002,".Z.NEWHAMPSHIRE",64.85,74.14,69.72,54.63,75.57,65.6
"D","02/01/2023",4003,".Z.VERMONT",63.69,72.38,68.24,53.47,74.49,64.48
"D","02/01/2023",4004,".Z.CONNECTICUT",62.77,71.12,67.14,53.01,73.2,63.58
"D","02/01/2023",4005,".Z.RHODEISLAND",64.56,74.2,69.61,54.19,75.08,65.13
"D","02/01/2023",4006,".Z.SEMASS",65.35,74.9,70.36,54.92,75.84,65.88
"D","02/01/2023",4007,".Z.WCMASS",64.45,73.57,69.23,54.24,75.05,65.14
"D","02/01/2023",4008,".Z.NEMASSBOST",64.99,74.54,69.99,54.74,75.69,65.72
"D","03/01/2023",4000,".H.INTERNAL_HUB",37.56,32.54,35.02,33.31,28.27,30.77
"D","03/01/2023",4001,".Z.MAINE",37.45,32.32,34.86,32.97,27.9,30.41
"D","03/01/2023",4002,".Z.NEWHAMPSHIRE",38.12,32.87,35.47,33.71,28.45,31.05
"D","03/01/2023",4003,".Z.VERMONT",37.28,32.16,34.7,32.91,27.85,30.36
"D","03/01/2023",4004,".Z.CONNECTICUT",36.81,31.78,34.27,32.74,27.74,30.21
"D","03/01/2023",4005,".Z.RHODEISLAND",37.33,32.47,34.88,33.08,28.13,30.58
"D","03/01/2023",4006,".Z.SEMASS",37.92,32.88,35.38,33.59,28.48,31.01
"D","03/01/2023",4007,".Z.WCMASS",37.61,32.56,35.06,33.34,28.29,30.79
"D","03/01/2023",4008,".Z.NEMASSBOST",38.03,32.89,35.43,33.71,28.51,31.08
"D","04/01/2023",4000,".H.INTERNAL_HUB",31.68,26.47,28.79,29.94,25.1,27.25
"D","04/01/2023",4001,".Z.MAINE",31.1,26.27,28.42,28.95,24.73,26.6
"D","04/01/2023",4002,".Z.NEWHAMPSHIRE",31.69,26.51,28.81,29.93,25.07,27.23
"D","04/01/2023",4003,".Z.VERMONT",30.92,25.99,28.18,29.24,24.51,26.61
"D","04/01/2023",4004,".Z.CONNECTICUT",31.49,26.15,28.52,29.78,24.86,27.04
"D","04/01/2023",4005,".Z.RHODEISLAND",31.42,26.22,28.53,29.63,24.87,26.99
