INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-04-11T11:00:00-00:00,2025-04-11T12:00:00-00:00,0,2025-04-11,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,853,ACTUAL,1
2025-04-11T15:00:00-00:00,2025-04-11T16:00:00-00:00,0,2025-04-11,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1165,ACTUAL,1
2025-04-12T06:00:00-00:00,2025-04-12T07:00:00-00:00,0,2025-04-11,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,946,ACTUAL,1
2025-04-11T17:00:00-00:00,2025-04-11T18:00:00-00:00,0,2025-04-11,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1139,ACTUAL,1
2025-04-12T03:00:00-00:00,2025-04-12T04:00:00-00:00,0,2025-04-11,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1102,ACTUAL,1
2025-04-12T00:00:00-00:00,2025-04-12T01:00:00-00:00,0,2025-04-11,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1065,ACTUAL,1
2025-04-11T13:00:00-00:00,2025-04-11T14:00:00-00:00,0,2025-04-11,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1072,ACTUAL,1
2025-04-11T12:00:00-00:00,2025-04-11T13:00:00-00:00,0,2025-04-11,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,955,ACTUAL,1
2025-04-11T22:00:00-00:00,2025-04-11T23:00:00-00:00,0,2025-04-11,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1047,ACTUAL,1
2025-04-12T01:00:00-00:00,2025-04-12T02:00:00-00:00,0,2025-04-11,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1068,ACTUAL,1
2025-04-11T09:00:00-00:00,2025-04-11T10:00:00-00:00,0,2025-04-11,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,811,ACTUAL,1
2025-04-11T18:00:00-00:00,2025-04-11T19:00:00-00:00,0,2025-04-11,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1127,ACTUAL,1
2025-04-11T19:00:00-00:00,2025-04-11T20:00:00-00:00,0,2025-04-11,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,1110,ACTUAL,1
