segment,year,bin,mw_weight,s05,s15,s25,s35,s45,s55,s65,s75,s85,s95,s97,s99
CC_LIKE,2023,0,4593279540.0,5.275,5.175,5.075,5.175,4.975,5.025,5.275,5.575,7.325,10.475,12.275,14.875
CC_LIKE,2023,1,586159343.0,5.075,4.975,4.925,4.925,4.825,4.925,5.075,5.425,7.075,10.075,11.675,14.725
CC_LIKE,2023,2,413395159.0,4.575,4.525,4.525,4.575,4.475,4.625,4.675,5.075,6.475,9.075,10.825,14.925
CC_LIKE,2023,3,176548746.0,4.375,4.275,4.375,4.425,4.325,4.375,4.525,4.975,6.425,8.775,10.575,14.625
CC_LIKE,2024,0,4936935640.0,5.275,5.125,5.175,5.575,4.975,5.325,5.575,6.025,8.325,13.125,15.125,18.325
CC_LIKE,2024,1,622633880.0,5.125,5.025,5.025,5.275,5.025,5.275,5.525,5.975,7.725,12.625,15.775,20.675
CC_LIKE,2024,2,427776840.0,4.875,4.825,4.825,5.175,4.825,5.025,5.225,5.875,7.525,12.475,17.275,23.325
CC_LIKE,2024,3,186782722.0,4.475,4.475,4.525,4.725,4.375,4.625,4.825,5.575,7.075,10.975,12.975,20.875
CC_LIKE,2025,0,4882673328.0,5.125,5.075,4.925,5.075,4.975,5.075,5.375,5.725,7.625,11.225,13.075,15.225
CC_LIKE,2025,1,593004138.0,5.275,5.225,5.125,5.175,5.175,5.375,5.675,6.075,7.675,11.625,13.725,17.125
CC_LIKE,2025,2,404095944.0,5.225,5.175,5.025,5.075,5.225,5.425,5.725,6.325,7.875,11.925,14.475,18.925
CC_LIKE,2025,3,180210712.0,4.875,4.875,4.825,4.875,4.925,5.075,5.325,6.075,7.575,11.125,13.125,17.675
CT_FAST,2023,0,1171055744.0,34.175,26.725,27.625,27.975,25.625,23.925,27.975,25.925,26.875,33.525,34.575,34.725
CT_FAST,2023,1,150160407.0,35.475,26.375,27.125,27.425,24.475,23.175,26.475,25.575,26.875,33.025,34.125,34.225
CT_FAST,2023,2,104384821.0,22.375,20.825,21.175,21.275,20.575,20.125,22.225,21.975,23.525,30.875,31.375,31.275
CT_FAST,2023,3,44612494.0,18.775,17.925,18.175,18.275,18.225,18.025,19.425,19.175,20.925,28.225,29.075,29.025
CT_FAST,2024,0,1013996280.0,25.025,24.225,24.475,24.625,24.525,24.975,26.625,28.175,29.675,36.775,38.325,45.475
CT_FAST,2024,1,127556118.0,25.225,24.425,24.675,24.825,25.425,26.625,27.275,29.275,30.975,38.525,40.075,44.675
CT_FAST,2024,2,87670522.0,24.475,23.425,23.725,23.975,25.175,26.475,26.325,27.325,28.975,39.275,40.975,43.775
CT_FAST,2024,3,38034002.0,18.925,18.725,18.825,18.875,19.575,19.975,22.925,22.375,24.125,31.225,34.525,37.325
CT_FAST,2025,0,938998306.0,31.225,28.825,29.775,30.925,26.725,29.125,30.025,28.725,29.775,33.625,34.375,34.625
CT_FAST,2025,1,113014769.0,34.225,33.325,33.675,34.275,32.375,33.825,34.425,32.675,33.475,37.175,38.075,38.825
CT_FAST,2025,2,76760681.0,34.675,33.475,33.975,34.575,32.925,34.475,34.975,33.025,33.625,38.675,40.125,40.875
CT_FAST,2025,3,33946800.0,24.325,22.725,23.175,23.675,22.375,24.025,25.225,23.725,24.625,34.325,34.875,35.525
LONG_RUN,2023,0,2464895997.0,7.875,7.875,7.825,8.075,8.575,8.875,9.175,9.775,10.425,10.825,10.925,11.225
LONG_RUN,2023,1,341326084.0,7.425,7.425,7.425,7.725,8.225,8.675,8.975,9.425,9.925,10.325,10.475,10.675
LONG_RUN,2023,2,239432853.0,6.725,6.775,6.825,7.525,8.125,8.475,8.825,9.225,9.625,10.125,10.275,10.475
LONG_RUN,2023,3,103967476.0,6.325,6.325,6.425,7.025,7.975,8.175,8.425,8.875,9.375,9.875,10.025,10.175
LONG_RUN,2024,0,2253823420.0,7.875,7.875,7.925,8.125,8.875,9.225,9.425,9.775,10.725,10.975,11.125,11.675
LONG_RUN,2024,1,309879710.0,7.175,7.175,7.225,7.575,8.375,8.625,8.775,9.175,9.825,10.175,10.275,10.775
LONG_RUN,2024,2,221589847.0,7.225,7.225,7.325,7.725,8.575,8.775,8.925,9.325,9.975,10.375,10.475,10.975
LONG_RUN,2024,3,99840830.0,6.975,7.025,7.125,7.275,8.475,8.675,8.775,9.075,9.825,10.075,10.375,10.575
LONG_RUN,2025,0,2108370674.0,5.325,5.375,5.825,6.225,6.875,7.125,7.325,7.575,8.325,8.575,8.725,9.025
LONG_RUN,2025,1,283717503.0,5.425,5.425,5.975,6.275,6.575,6.825,7.125,7.375,7.975,8.325,8.425,8.675
LONG_RUN,2025,2,198905571.0,5.575,5.625,6.425,6.625,6.875,6.975,7.225,7.475,7.975,8.275,8.475,8.725
LONG_RUN,2025,3,91735158.0,4.925,4.925,6.325,6.675,7.075,7.125,7.225,7.525,7.875,8.125,8.175,8.475
