resource_seq,slope,intercept,r,n_days,level_adder,slope_a,slope_b,cap,is_gas,estimator
10063,-4.138574025102208,91.66687765495305,-0.2487323322012348,1043,154.96628883012264,-4.209699217012249,-4.064878653426613,48.0,False,P035_OLS
11009,4.18303876004598,73.91233598800017,0.4366836969051471,438,68.51586634869355,4.432501521163494,3.9668588670853087,787.3,False,P035_OLS
11031,10.785693543374954,33.36998344591947,0.6126097956605919,995,16.281457543949514,9.28049536800951,12.347746416546023,47.0,True,P035_OLS
12097,2.9194839400330515,271.77826410430384,0.1273668003568351,1004,274.8325134261415,2.633185733162564,3.198558751262787,48.5,False,P035_OLS
12297,1.92592245945791,11.675573003406456,0.6550847829833008,1003,10.418892590886836,1.9012052774798471,1.9507687052554856,278.0,False,P035_OLS
12659,-3.7095222763717737,-21.86402480542529,-0.27077610444451244,729,-49.946398786633644,-3.533887144584868,-3.8953606474970326,22.5,False,P035_OLS
13275,6.619566461681634e-15,-150.0,,841,-150.00000000000003,8.472609808146088e-15,-5.1725077887401676e-15,37.5,False,P035_OLS
14268,-6.08593552749857e-14,1000.000000000001,,209,1000.0000000000002,1.0436321398325975e-14,-3.8785255568799927e-14,150.0,False,P035_OLS
14588,8.548936296233906,48.69313619576296,0.679128598976412,1043,39.16438105209727,8.828913569635239,8.25830813126336,45.0,True,P035_OLS
15082,-3.1741922826092512,-17.489179555253365,-0.26101313804290444,728,-42.71111131365781,-3.4175140320622344,-2.9403770787359886,33.1,False,P035_OLS
15690,-4.0230838608256825,87.40257456254866,-0.2411212912722364,1039,100.57709652064206,-3.746412266882012,-4.310191026722569,28.5,False,P035_OLS
16568,5.056796197550666,122.68624318438397,0.31235732162105234,924,160.7297661765913,4.862534928661112,5.245727311440424,558.8,False,P035_OLS
16639,2.145637645838876,396.7624747644078,0.06416902231099635,1034,453.2359119889184,2.2220661271312454,2.067556537829352,34.2,False,P035_OLS
17045,7.716676044739163,26.545312319075702,0.18530617537329602,1028,-40.04751828724137,6.910460786655509,8.506344505173496,29.5,False,P035_OLS
17063,5.422117853568769,19.52978104842224,0.5273835982609512,822,10.242867306864873,4.909070873893737,5.914159712465644,343.8,False,P035_OLS
17698,4.55326206736682,108.51393869064066,0.2831590268085679,891,140.50525006434026,4.620522727858824,4.485822169192695,36.0,False,P035_OLS
17884,1.851941256396921,379.0085928777271,0.31455728260773946,136,380.26535657895266,1.7041555805569606,2.00054144854223,45.8,False,P035_OLS
18898,10.743387965474149,31.763715675739444,0.615769741198165,996,15.625153598126404,9.312012805291065,12.122550108517832,47.0,True,P035_OLS
19049,0.6021154305063466,300.608618066244,0.08756901424198751,996,296.0054699802806,0.6444497303446035,0.5605841191644579,48.8,False,P035_OLS
19426,10.893161168830314,30.49479498913904,0.6173597382108317,995,15.293077533203874,9.134202964642508,12.721477492550264,46.0,True,P035_OLS
19882,3.6280002384838497,17.820580839972866,0.5701039672670962,868,12.784259409721143,4.180436027758683,3.0889630834243884,500.8,False,P035_OLS
20351,-1.538491300852592,38.19272664546334,-0.0428859226428612,1043,-21.87686265926924,-2.065056254174433,-0.9921116390456242,34.0,False,P035_OLS
20846,4.460738877504847,19.842536086299095,0.5466906023507516,964,13.702915465400952,3.9554351300458044,4.961318316680094,250.0,False,P035_OLS
20887,5.786402899249425,33.6286873442735,0.6257592997615982,830,23.56874915395865,5.649121404113649,5.9191813915431695,103.5,True,P035_OLS
21292,4.600472948482976,21.238880070620162,0.5258196084075859,966,11.851299883657305,4.400049224480121,4.795599499807191,285.45,False,P035_OLS
21445,0.40111357189749514,287.31592403812704,0.0510989300616956,1006,275.4360988362494,0.5966391348025654,0.20675151743573084,49.2,False,P035_OLS
22505,0.6488745327146161,308.21188155987903,0.07990228815341724,1010,304.43456685414367,0.6391052026279114,0.6574765589386584,37.5,False,P035_OLS
22507,7.187761361279017,77.70101600764474,0.49444279772994243,1023,60.5764256329367,6.792478241212833,7.597835181615329,171.1,False,P035_OLS
22792,11.85926605637465,35.10060045038386,0.7436752043061808,897,21.19731711874107,11.072690078995723,12.674797570453059,21.0,True,P035_OLS
22891,4.799834411335133,34.861779578181356,0.6530781749990257,934,28.469269092870483,4.741204232856445,4.855687388124835,153.3,True,P035_OLS
