plant_code,leg,year,hsl_mw,night_p50,day_p50,n_night,n_day
889,MER,2023,1281.0,0.4176,0.7533,2132,2131
889,MER,2024,1281.0,0.4832,0.9009,2035,2048
889,MER,2025,1281.0,0.619,0.8407,2057,2041
997,REG,2023,438.0,0.7374,0.8014,1150,1150
997,REG,2024,438.0,0.742,0.8128,781,774
997,REG,2025,438.0,0.7763,0.8539,1469,1472
1082,REG,2023,1597.0,0.464,0.5341,1644,1658
1082,REG,2024,1597.0,0.449,0.6387,1781,1810
1082,REG,2025,1597.0,0.4584,0.4596,1851,1876
1091,REG,2023,545.0,0.3174,0.9413,922,934
1091,REG,2024,545.0,0.3083,0.9468,614,644
1091,REG,2025,545.0,0.6294,0.9339,1199,1248
1167,REG,2023,229.0,0.2052,0.5197,1745,1758
1167,REG,2024,229.0,0.3428,0.5633,1542,1540
1167,REG,2025,229.0,0.3275,0.6419,1874,1894
1393,REG,2023,558.0,0.353,0.9337,1072,1085
1393,REG,2024,558.0,0.3065,0.7276,1225,1235
1393,REG,2025,558.0,0.6756,0.8871,1188,1232
1710,REG,2023,1471.0,0.516,0.7002,2148,2145
1710,REG,2024,1471.0,0.7458,0.7791,2196,2196
1710,REG,2025,1471.0,0.6247,0.6261,2190,2190
1733,REG,2023,3205.0,0.3621,0.4967,2190,2190
1733,REG,2024,3205.0,0.4197,0.6094,2196,2196
1733,REG,2025,3205.0,0.493,0.7078,2190,2190
1893,REG,2023,1010.0,0.554,0.8064,2096,2118
1893,REG,2024,1010.0,0.3584,0.5822,2178,2174
1893,REG,2025,1010.0,0.7198,0.8545,2160,2156
1915,REG,2023,550.0,0.7091,0.9673,572,567
1915,REG,2024,550.0,0.7191,0.9564,342,351
1915,REG,2025,550.0,0.8345,0.9,526,534
2103,REG,2023,2578.5,0.572,0.8602,2190,2190
2103,REG,2024,2578.5,0.4987,0.7326,2192,2190
2103,REG,2025,2578.5,0.6857,0.8468,2190,2190
2107,REG,2023,913.0,0.4425,0.4874,1608,1618
2107,REG,2024,913.0,0.4929,0.5871,1659,1687
2107,REG,2025,913.0,0.4912,0.4934,1882,1908
4041,REG,2023,1072.0,0.4272,0.5597,1741,1743
4041,REG,2024,1072.0,0.2799,0.4832,1387,1385
4041,REG,2025,1072.0,0.2444,0.2799,1774,1780
4050,REG,2023,421.0,0.3088,0.9501,1797,1803
4050,REG,2024,421.0,0.3278,0.9097,1977,1968
4050,REG,2025,421.0,0.7268,0.8836,1720,1711
4078,REG,2023,970.0,0.3392,0.6186,1825,1833
4078,REG,2024,970.0,0.399,0.5608,2147,2149
4078,REG,2025,970.0,0.5072,0.6196,2143,2144
4271,REG,2023,404.0,0.3193,0.4629,1716,1714
4271,REG,2024,404.0,0.3144,0.3218,1560,1572
4271,REG,2025,404.0,0.3243,0.6844,1578,1586
6009,REG,2023,1707.0,0.147,0.4654,1580,1580
6009,REG,2024,1707.0,0.1535,0.3008,1191,1192
6009,REG,2025,1707.0,0.2414,0.4484,1605,1626
6017,MER,2023,669.0,0.3266,0.8969,1958,1956
6017,MER,2024,669.0,0.2967,0.8296,1950,1969
6017,MER,2025,669.0,0.6771,0.8969,1986,1981
6034,REG,2023,1509.0,0.4447,0.5759,2048,2067
6034,REG,2024,1509.0,0.4427,0.5802,2002,1982
6034,REG,2025,1509.0,0.4553,0.5746,2105,2106
6055,MER,2023,1091.0,0.286,0.495,1221,1243
6055,MER,2024,1091.0,0.1815,0.4803,1063,1079
6055,MER,2025,1091.0,0.3501,0.4445,1499,1524
6090,REG,2023,1661.0,0.4407,0.5677,2052,2051
6090,REG,2024,1661.0,0.4259,0.4407,2152,2154
6090,REG,2025,1661.0,0.46,0.5521,2066,2065
6098,REG,2023,496.0,0.2802,0.6139,1647,1660
6098,REG,2024,496.0,0.2782,0.4073,1871,1886
6098,REG,2025,496.0,0.3548,0.6129,1887,1896
6190,REG,2023,1209.0,0.2754,0.5116,2095,2100
6190,REG,2024,1209.0,0.2349,0.3375,2003,2017
6190,REG,2025,1209.0,0.2523,0.3333,2077,2077
6254,REG,2023,755.0,0.402,0.9589,1632,1650
6254,REG,2024,755.0,0.3576,0.5921,1186,1202
6254,REG,2025,755.0,0.7358,0.9894,1322,1324
6641,REG,2023,1749.0,0.2853,0.4906,1738,1743
6641,REG,2024,1749.0,0.2853,0.5706,1702,1700
6641,REG,2025,1749.0,0.3325,0.4991,2100,2107
6664,REG,2023,804.0,0.38,0.9913,1614,1619
6664,REG,2024,804.0,0.2624,0.99,1390,1402
6664,REG,2025,804.0,0.8806,0.9938,1881,1895
7343,REG,2023,699.0,0.3891,0.9313,575,584
7343,REG,2024,699.0,0.3777,0.8383,482,498
7343,REG,2025,699.0,0.5258,0.8898,1012,1037
8023,REG,2023,1173.0,0.289,0.4919,2190,2190
8023,REG,2024,1173.0,0.2907,0.6121,2196,2194
8023,REG,2025,1173.0,0.4736,0.7843,2150,2147
56068,REG,2023,1336.0,0.4963,0.4993,2113,2116
56068,REG,2024,1336.0,0.646,0.9049,2088,2085
56068,REG,2025,1336.0,0.6901,0.8787,2053,2046
56456,MER,2023,737.0,0.4858,0.905,1810,1813
56456,MER,2024,737.0,0.4545,0.6445,1932,1950
56456,MER,2025,737.0,0.6771,0.9444,1711,1712
