case,year,tech,potential_mwh,delivered_mwh,curtailed_mwh,curtailment_rate,curtailed_mwh_bau,curtailment_rate_bau,curtailed_mwh_delta,curtailment_rate_delta
LOAD-HI,2026,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2026,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2027,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2027,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2028,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2028,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2029,wind,18305337.98874345,18305337.988743454,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2029,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2030,wind,20148888.97019625,20148888.97019625,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2030,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2027,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2027,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2028,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2028,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2029,wind,18305337.98874345,18305337.988743454,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2029,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2030,wind,20148888.97019625,20148888.97019625,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2030,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
REF,2026,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
REF,2026,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
REF,2027,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
REF,2027,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
REF,2028,wind,16461787.00729065,16461787.007290654,0.0,0.0,0.0,0.0,0.0,0.0
REF,2028,solar,56804693.73463921,56804693.73463921,0.0,0.0,0.0,0.0,0.0,0.0
REF,2029,wind,18305337.98874345,18305337.988743454,0.0,0.0,0.0,0.0,0.0,0.0
REF,2029,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
REF,2030,wind,20148888.97019625,20148888.97019625,0.0,0.0,0.0,0.0,0.0,0.0
REF,2030,solar,66338055.61128908,66338055.611289084,0.0,0.0,0.0,0.0,0.0,0.0
