case,year,event,tech,mw,mw_bau,mw_delta
LOAD-HI,2027,build,gas_ct,1396.4,1396.4,0.0
LOAD-HI,2027,retirement,biomass,1.5,1.5,0.0
LOAD-HI,2027,retirement,gas_st,1525.8,1525.8,0.0
LOAD-HI,2028,build,gas_ct,2792.8,2792.8,0.0
LOAD-HI,2028,retirement,biomass,0.8,0.8,0.0
LOAD-HI,2028,retrofit,gas_cc_ccs,2982.1958,2996.5808,-14.385000000000218
LOAD-HI,2029,build,gas_cc,2000.0,2000.0,0.0
LOAD-HI,2029,build,gas_ct,5585.6,3795.787844818977,1789.8121551810232
LOAD-HI,2029,build,solar,4000.0,4000.0,0.0
LOAD-HI,2029,build,wind,702.2,702.2,0.0
LOAD-HI,2029,retrofit,gas_cc_ccs,2996.9394,2996.9297,0.009700000000066211
LOAD-HI,2030,build,gas_ct,4920.4642862814935,2176.584203833362,2743.8800824481314
LOAD-HI,2030,build,wind,702.2,702.2,0.0
LOAD-HI,2030,retirement,gas_ct,5.208,5.208,0.0
LOAD-HI,2030,retirement,nuclear,1122.0,1122.0,0.0
LOAD-HI,2030,retrofit,gas_cc_ccs,2989.2383,2892.1530000000002,97.08529999999973
LOAD-HI-ORGANIC,2027,build,gas_ct,1396.4,1396.4,0.0
LOAD-HI-ORGANIC,2027,retirement,biomass,1.5,1.5,0.0
LOAD-HI-ORGANIC,2027,retirement,gas_st,1525.8,1525.8,0.0
LOAD-HI-ORGANIC,2028,build,gas_ct,2792.8,2792.8,0.0
LOAD-HI-ORGANIC,2028,retirement,biomass,0.8,0.8,0.0
LOAD-HI-ORGANIC,2028,retrofit,gas_cc_ccs,2982.1958,2996.5808,-14.385000000000218
LOAD-HI-ORGANIC,2029,build,gas_cc,2000.0,2000.0,0.0
LOAD-HI-ORGANIC,2029,build,gas_ct,5585.6,3795.787844818977,1789.8121551810232
LOAD-HI-ORGANIC,2029,build,solar,4000.0,4000.0,0.0
LOAD-HI-ORGANIC,2029,build,wind,702.2,702.2,0.0
LOAD-HI-ORGANIC,2029,retrofit,gas_cc_ccs,2996.9394,2996.9297,0.009700000000066211
LOAD-HI-ORGANIC,2030,build,gas_ct,7274.754774884733,2176.584203833362,5098.170571051371
LOAD-HI-ORGANIC,2030,build,wind,702.2,702.2,0.0
LOAD-HI-ORGANIC,2030,retirement,gas_ct,5.208,5.208,0.0
LOAD-HI-ORGANIC,2030,retirement,nuclear,1122.0,1122.0,0.0
LOAD-HI-ORGANIC,2030,retrofit,gas_cc_ccs,2989.2383,2892.1530000000002,97.08529999999973
REF,2027,build,gas_ct,1396.4,1396.4,0.0
REF,2027,retirement,biomass,1.5,1.5,0.0
REF,2027,retirement,gas_st,1525.8,1525.8,0.0
REF,2028,build,gas_ct,2792.8,2792.8,0.0
REF,2028,retirement,biomass,0.8,0.8,0.0
REF,2028,retrofit,gas_cc_ccs,2996.5808,2996.5808,0.0
REF,2029,build,gas_cc,2000.0,2000.0,0.0
REF,2029,build,gas_ct,3795.787844818977,3795.787844818977,0.0
REF,2029,build,solar,4000.0,4000.0,0.0
REF,2029,build,wind,702.2,702.2,0.0
REF,2029,retrofit,gas_cc_ccs,2996.9297,2996.9297,0.0
REF,2030,build,gas_ct,2176.584203833362,2176.584203833362,0.0
REF,2030,build,wind,702.2,702.2,0.0
REF,2030,retirement,gas_ct,5.208,5.208,0.0
REF,2030,retirement,nuclear,1122.0,1122.0,0.0
REF,2030,retrofit,gas_cc_ccs,2892.1530000000002,2892.1530000000002,0.0
