case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
LOAD-HI,2026,biomass,0.746,6.0081,0.462359,0.746,6.0081,0.462359,0.0,0.0,0.0
LOAD-HI,2026,coal,0.05,0.3594,0.201766,0.05,0.3594,0.201766,0.0,0.0,0.0
LOAD-HI,2026,gas_cc,16.383,85.6176,32.582911,16.383,79.3317,30.080497,0.0,6.285899999999998,2.5024140000000017
LOAD-HI,2026,gas_ct,9.557,2.252,1.048255,9.557,1.2056,0.561044,0.0,1.0463999999999998,0.48721099999999995
LOAD-HI,2026,gas_st,1.526,0.0089,0.005592,1.526,0.0012,0.000459,0.0,0.0077,0.0051329999999999995
LOAD-HI,2026,hydro,6.568,18.8032,0.0,6.568,18.8032,0.0,0.0,0.0,0.0
LOAD-HI,2026,import,12.171,42.4518,0.0,12.171,42.1784,0.0,0.0,0.2733999999999952,0.0
LOAD-HI,2026,nuclear,2.24,18.1972,0.0,2.24,18.1972,0.0,0.0,0.0,0.0
LOAD-HI,2026,oil,0.123,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2026,solar,24.92,56.8047,0.0,24.92,56.8047,0.0,0.0,0.0,0.0
LOAD-HI,2026,wind,6.33,16.4618,0.0,6.33,16.4618,0.0,0.0,0.0,0.0
LOAD-HI,2027,biomass,0.744,5.996,0.462359,0.744,5.996,0.462359,0.0,0.0,0.0
LOAD-HI,2027,coal,0.05,0.3594,0.201766,0.05,0.3594,0.201766,0.0,0.0,0.0
LOAD-HI,2027,gas_cc,16.383,94.7728,36.248285,16.383,85.9501,32.696246,0.0,8.822699999999998,3.5520390000000006
LOAD-HI,2027,gas_ct,10.953,5.1071,2.417054,10.953,2.4698,1.154505,0.0,2.6372999999999998,1.262549
LOAD-HI,2027,hydro,6.568,18.8032,0.0,6.568,18.8032,0.0,0.0,0.0,0.0
LOAD-HI,2027,import,12.171,42.5542,0.0,12.171,42.0853,0.0,0.0,0.468900000000005,0.0
LOAD-HI,2027,nuclear,2.24,18.1972,0.0,2.24,18.1972,0.0,0.0,0.0,0.0
LOAD-HI,2027,oil,0.123,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2027,solar,24.92,56.8047,0.0,24.92,56.8047,0.0,0.0,0.0,0.0
LOAD-HI,2027,wind,6.33,16.4618,0.0,6.33,16.4618,0.0,0.0,0.0,0.0
LOAD-HI,2028,biomass,0.743,5.9896,0.462359,0.743,5.9896,0.462359,0.0,0.0,0.0
LOAD-HI,2028,coal,0.05,0.3594,0.201766,0.05,0.3594,0.201766,0.0,0.0,0.0
LOAD-HI,2028,gas_cc,13.403,83.3582,31.662906,13.48,75.9861,28.826874,-0.07699999999999996,7.372100000000003,2.8360319999999994
LOAD-HI,2028,gas_cc_ccs,2.981,14.96,1.389682,2.903,13.6325,0.941272,0.07799999999999985,1.3275000000000006,0.4484100000000001
LOAD-HI,2028,gas_ct,13.746,13.3792,6.400681,13.746,6.0758,2.886681,0.0,7.303400000000001,3.514
LOAD-HI,2028,hydro,6.568,18.8032,0.0,6.568,18.8032,0.0,0.0,0.0,0.0
LOAD-HI,2028,import,12.171,43.4241,0.0,12.171,43.0492,0.0,0.0,0.3749000000000038,0.0
LOAD-HI,2028,nuclear,2.24,18.1972,0.0,2.24,18.1972,0.0,0.0,0.0,0.0
LOAD-HI,2028,oil,0.123,0.0002,0.000201,0.123,0.0,0.0,0.0,0.0002,0.000201
LOAD-HI,2028,solar,24.92,56.8047,0.0,24.92,56.8047,0.0,0.0,0.0,0.0
LOAD-HI,2028,wind,6.33,16.4618,0.0,6.33,16.4618,0.0,0.0,0.0,0.0
LOAD-HI,2029,biomass,0.743,5.9896,0.462359,0.743,5.9896,0.462359,0.0,0.0,0.0
LOAD-HI,2029,coal,0.05,0.3594,0.201766,0.05,0.3594,0.201766,0.0,0.0,0.0
LOAD-HI,2029,gas_cc,12.426,76.9958,28.97682,12.483,67.8982,25.476633,-0.057000000000000384,9.0976,3.5001870000000004
LOAD-HI,2029,gas_cc_ccs,5.957,25.9788,5.112443,5.9,21.8827,3.750069,0.056999999999999496,4.0961,1.362374
