case,year,tech,captured_price_usd_per_mwh,source,captured_price_usd_per_mwh_bau,captured_price_usd_per_mwh_delta
LOAD-HI,2026,wind,55.57462730902242,dispatch_cache,54.26142712979577,1.313200179226648
LOAD-HI,2026,solar,51.5273556514699,dispatch_cache,50.37494113336478,1.1524145181051182
LOAD-HI,2027,wind,56.33818244347199,dispatch_cache,54.42791188666033,1.9102705568116605
LOAD-HI,2027,solar,52.11785034870112,dispatch_cache,50.4826639329742,1.6351864157269205
LOAD-HI,2028,wind,60.331525634206244,dispatch_cache,57.86583306955727,2.4656925646489753
LOAD-HI,2028,solar,56.31758088876203,dispatch_cache,53.421259983438986,2.8963209053230443
LOAD-HI,2029,wind,63.086365825831116,dispatch_cache,59.22262709978058,3.863738726050535
LOAD-HI,2029,solar,58.16176830869183,dispatch_cache,54.33624979142126,3.8255185172705737
LOAD-HI,2030,wind,72.70985752660809,dispatch_cache,67.87503753025231,4.834819996355776
LOAD-HI,2030,solar,68.27066011118617,dispatch_cache,62.81438973763608,5.4562703735500975
LOAD-HI-ORGANIC,2026,wind,55.58711987127135,dispatch_cache,54.26142712979577,1.325692741475578
LOAD-HI-ORGANIC,2026,solar,51.57303322100116,dispatch_cache,50.37494113336478,1.1980920876363825
LOAD-HI-ORGANIC,2027,wind,56.30726923939159,dispatch_cache,54.42791188666033,1.8793573527312546
LOAD-HI-ORGANIC,2027,solar,52.19878977772017,dispatch_cache,50.4826639329742,1.7161258447459744
LOAD-HI-ORGANIC,2028,wind,60.55375207021293,dispatch_cache,57.86583306955727,2.6879190006556613
LOAD-HI-ORGANIC,2028,solar,56.81483348132155,dispatch_cache,53.421259983438986,3.3935734978825636
LOAD-HI-ORGANIC,2029,wind,62.97641813779915,dispatch_cache,59.22262709978058,3.7537910380185693
LOAD-HI-ORGANIC,2029,solar,58.277422848455906,dispatch_cache,54.33624979142126,3.9411730570346464
LOAD-HI-ORGANIC,2030,wind,72.86857842381137,dispatch_cache,67.87503753025231,4.993540893559057
LOAD-HI-ORGANIC,2030,solar,68.78611289593374,dispatch_cache,62.81438973763608,5.971723158297664
REF,2026,wind,54.26142712979577,dispatch_cache,54.26142712979577,0.0
REF,2026,solar,50.37494113336478,dispatch_cache,50.37494113336478,0.0
REF,2027,wind,54.42791188666033,dispatch_cache,54.42791188666033,0.0
REF,2027,solar,50.4826639329742,dispatch_cache,50.4826639329742,0.0
REF,2028,wind,57.86583306955727,dispatch_cache,57.86583306955727,0.0
REF,2028,solar,53.421259983438986,dispatch_cache,53.421259983438986,0.0
REF,2029,wind,59.22262709978058,dispatch_cache,59.22262709978058,0.0
REF,2029,solar,54.33624979142126,dispatch_cache,54.33624979142126,0.0
REF,2030,wind,67.87503753025231,dispatch_cache,67.87503753025231,0.0
REF,2030,solar,62.81438973763608,dispatch_cache,62.81438973763608,0.0
