case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
LOAD-HI,2026,34.3009,0.0,31.3061,0.0,2.994799999999998,0.0,2.994799999999998,0.0
LOAD-HI,2027,39.3295,0.0,34.5149,0.0,4.814600000000006,0.0,7.809400000000004,0.0
LOAD-HI,2028,40.1176,0.0,33.319,0.0,6.7986,0.0,14.608000000000004,0.0
LOAD-HI,2029,39.8088,0.0,31.3551,0.0,8.453699999999998,0.0,23.061700000000002,0.0
LOAD-HI,2030,41.3902,1.298916,31.1595,0.665592,10.230699999999999,0.633324,33.2924,0.633324
LOAD-HI-ORGANIC,2026,34.3121,0.0,31.3061,0.0,3.0060000000000002,0.0,3.0060000000000002,0.0
LOAD-HI-ORGANIC,2027,39.3667,0.0,34.5149,0.0,4.851800000000004,0.0,7.857800000000005,0.0
LOAD-HI-ORGANIC,2028,40.1847,0.0,33.319,0.0,6.865699999999997,0.0,14.723500000000001,0.0
LOAD-HI-ORGANIC,2029,39.9165,0.0,31.3551,0.0,8.561399999999999,0.0,23.2849,0.0
LOAD-HI-ORGANIC,2030,41.5031,1.271951,31.1595,0.665592,10.343600000000002,0.6063590000000001,33.6285,0.6063590000000001
REF,2026,31.3061,0.0,31.3061,0.0,0.0,0.0,0.0,0.0
REF,2027,34.5149,0.0,34.5149,0.0,0.0,0.0,0.0,0.0
REF,2028,33.319,0.0,33.319,0.0,0.0,0.0,0.0,0.0
REF,2029,31.3551,0.0,31.3551,0.0,0.0,0.0,0.0,0.0
REF,2030,31.1595,0.665592,31.1595,0.665592,0.0,0.0,0.0,0.0
