case,year,tech,potential_mwh,delivered_mwh,curtailed_mwh,curtailment_rate,curtailed_mwh_bau,curtailment_rate_bau,curtailed_mwh_delta,curtailment_rate_delta
LOAD-HI,2026,wind,126528352.32381624,122872552.88286816,3655799.440948084,0.028893124535377027,3655799.440948084,0.028893124535377027,0.0,0.0
LOAD-HI,2026,solar,75064962.7806962,74387023.71768251,677939.0630136877,0.009031364805898863,677939.0630136877,0.009031364805898863,0.0,0.0
LOAD-HI,2027,wind,128151359.36728865,123966395.92763,4184963.439658642,0.0326564108279516,4184963.439658642,0.0326564108279516,0.0,0.0
LOAD-HI,2027,solar,75243814.10312806,74520897.9111703,722916.1919577569,0.009607649486865972,722916.1919577569,0.009607649486865972,0.0,0.0
LOAD-HI,2028,wind,128151359.36728865,123628034.52773046,4523324.839558184,0.035296737091910925,4528619.551952884,0.0353380531764288,-5294.712394699454,-4.131608451787838e-05
LOAD-HI,2028,solar,75243814.10312806,74859259.31106985,384554.79205821455,0.005110782815065029,379260.0796634853,0.005040415404031447,5294.712394729257,7.036741103358217e-05
LOAD-HI,2029,wind,141751537.44976565,137207615.68347317,4543921.766292483,0.03205553779550907,4537616.556983441,0.032011057083536014,6305.2093090415,4.448071197305642e-05
LOAD-HI,2029,solar,78766372.40650934,78402414.54118541,363957.865323931,0.004620726513156687,370263.0746329576,0.004463805428016046,-6305.209309026599,0.00015692108514064104
LOAD-HI,2030,wind,157043289.09976566,152501020.798247,4542268.301518649,0.028923670203016824,4549145.733307719,0.03209239077861755,-6877.431789070368,-0.0031687205756007267
LOAD-HI,2030,solar,81032266.0790819,80666654.74898414,365611.33009774983,0.004511922815300987,370227.18994757533,0.003776808398250192,-4615.859849825501,0.0007351144170507952
LOAD-HI-ORGANIC,2026,wind,126528352.32381624,122872552.88286816,3655799.440948084,0.028893124535377027,3655799.440948084,0.028893124535377027,0.0,0.0
LOAD-HI-ORGANIC,2026,solar,75064962.7806962,74387023.71768251,677939.0630136877,0.009031364805898863,677939.0630136877,0.009031364805898863,0.0,0.0
LOAD-HI-ORGANIC,2027,wind,128151359.36728865,123966395.92763,4184963.439658642,0.0326564108279516,4184963.439658642,0.0326564108279516,0.0,0.0
LOAD-HI-ORGANIC,2027,solar,75243814.10312806,74520897.9111703,722916.1919577569,0.009607649486865972,722916.1919577569,0.009607649486865972,0.0,0.0
LOAD-HI-ORGANIC,2028,wind,128151359.36728865,123630550.83940451,4520808.527884141,0.03527710162579908,4528619.551952884,0.0353380531764288,-7811.0240687429905,-6.0951550629725904e-05
LOAD-HI-ORGANIC,2028,solar,75243814.10312806,74856742.9993958,387071.1037322581,0.005144224921954968,379260.0796634853,0.005040415404031447,7811.024068772793,0.00010380951792352162
LOAD-HI-ORGANIC,2029,wind,141751537.44976565,137210026.67294693,4541510.7768187225,0.03203852923590446,4537616.556983441,0.032011057083536014,3894.219835281372,2.7472152368444858e-05
LOAD-HI-ORGANIC,2029,solar,78766372.40650934,78400003.55171165,366368.8547976911,0.004651335888707425,370263.0746329576,0.004463805428016046,-3894.219835266471,0.00018753046069137913
LOAD-HI-ORGANIC,2030,wind,157043289.09976566,152498609.80877322,4544679.290992439,0.028939022590805,4549145.733307719,0.03209239077861755,-4466.4423152804375,-0.0031533681878125504
LOAD-HI-ORGANIC,2030,solar,81032266.0790819,80669065.73845792,363200.3406239748,0.004482169365342892,370227.18994757533,0.003776808398250192,-7026.849323600531,0.0007053609670926997
REF,2026,wind,126528352.32381624,122872552.88286816,3655799.440948084,0.028893124535377027,3655799.440948084,0.028893124535377027,0.0,0.0
REF,2026,solar,75064962.7806962,74387023.71768251,677939.0630136877,0.009031364805898863,677939.0630136877,0.009031364805898863,0.0,0.0
REF,2027,wind,128151359.36728865,123966395.92763,4184963.439658642,0.0326564108279516,4184963.439658642,0.0326564108279516,0.0,0.0
REF,2027,solar,75243814.10312806,74520897.9111703,722916.1919577569,0.009607649486865972,722916.1919577569,0.009607649486865972,0.0,0.0
REF,2028,wind,128151359.36728865,123622739.81533577,4528619.551952884,0.0353380531764288,4528619.551952884,0.0353380531764288,0.0,0.0
REF,2028,solar,75243814.10312806,74864554.02346458,379260.0796634853,0.005040415404031447,379260.0796634853,0.005040415404031447,0.0,0.0
REF,2029,wind,141751537.44976565,137213920.8927822,4537616.556983441,0.032011057083536014,4537616.556983441,0.032011057083536014,0.0,0.0
REF,2029,solar,82947852.58987471,82577589.51524176,370263.0746329576,0.004463805428016046,370263.0746329576,0.004463805428016046,0.0,0.0
REF,2030,wind,141751537.44976565,137202391.71645793,4549145.733307719,0.03209239077861755,4549145.733307719,0.03209239077861755,0.0,0.0
REF,2030,solar,98026468.62337598,97656241.4334284,370227.18994757533,0.003776808398250192,370227.18994757533,0.003776808398250192,0.0,0.0
