case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
LOAD-HI,2026,biomass,1.866,12.39,0.17247,1.866,12.0065,0.090843,0.0,0.38349999999999973,0.08162700000000002
LOAD-HI,2026,coal,41.207,295.1759,282.717934,41.207,293.8332,281.286191,0.0,1.3427000000000362,1.43174300000004
LOAD-HI,2026,gas_cc,35.605,193.5617,79.29534,35.605,168.5808,68.957,0.0,24.98089999999999,10.338340000000002
LOAD-HI,2026,gas_ct,24.902,36.61,18.086004,24.902,28.2843,13.187274,0.0,8.325699999999998,4.898729999999999
LOAD-HI,2026,gas_st,11.614,15.0848,6.544364,11.614,12.145,4.955673,0.0,2.9398,1.5886909999999999
LOAD-HI,2026,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI,2026,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
LOAD-HI,2026,oil,3.275,0.2294,0.226682,3.275,0.059,0.058283,0.0,0.1704,0.168399
LOAD-HI,2026,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
LOAD-HI,2026,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
LOAD-HI,2027,biomass,1.866,14.364,0.704884,1.866,13.7708,0.578958,0.0,0.5932000000000013,0.12592599999999998
LOAD-HI,2027,coal,38.839,273.4296,260.960274,38.839,265.5531,253.001001,0.0,7.876500000000021,7.9592730000000245
LOAD-HI,2027,gas_cc,35.612,239.0941,98.234641,35.612,216.7157,88.912137,0.0,22.3784,9.322503999999995
LOAD-HI,2027,gas_ct,24.929,65.51,35.493751,24.929,42.4954,21.465933,0.0,23.01460000000001,14.027818000000003
LOAD-HI,2027,gas_st,11.092,22.6171,10.827129,11.092,16.1226,7.056404,0.0,6.494500000000002,3.7707249999999997
LOAD-HI,2027,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI,2027,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
LOAD-HI,2027,oil,3.292,0.686,0.677143,3.292,0.1595,0.158269,0.0,0.5265000000000001,0.5188740000000001
LOAD-HI,2027,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
LOAD-HI,2027,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
LOAD-HI,2028,biomass,1.866,14.7528,0.900222,1.866,14.5169,0.734169,0.0,0.2359000000000009,0.166053
LOAD-HI,2028,coal,33.989,241.4183,231.81715,33.989,238.1551,228.395921,0.0,3.2631999999999834,3.421229000000011
LOAD-HI,2028,gas_cc,35.993,256.1231,104.655318,35.993,238.9752,97.553429,0.0,17.14790000000002,7.101889
LOAD-HI,2028,gas_cc_ccs,0.334,2.5678,0.147939,0.334,2.1476,0.123729,0.0,0.4201999999999999,0.02420999999999998
LOAD-HI,2028,gas_ct,26.978,129.9713,74.397693,26.978,81.6931,43.983121,0.0,48.27820000000001,30.414572000000007
LOAD-HI,2028,gas_st,10.675,32.6402,17.111822,10.675,21.0694,10.022707,0.0,11.570799999999998,7.089115
LOAD-HI,2028,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI,2028,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
LOAD-HI,2028,oil,3.292,3.7496,3.695768,3.292,0.493,0.486634,0.0,3.2566,3.209134
LOAD-HI,2028,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
LOAD-HI,2028,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
LOAD-HI,2029,biomass,1.866,14.9658,1.029615,1.866,14.6464,0.832585,0.0,0.3193999999999999,0.19702999999999993
LOAD-HI,2029,coal,31.451,225.5524,217.224025,31.451,222.6657,214.227339,0.0,2.886700000000019,2.996686000000011
LOAD-HI,2029,gas_cc,38.605,286.2098,115.242029,38.709,268.6509,108.157152,-0.10400000000000631,17.558899999999994,7.084877000000006
LOAD-HI,2029,gas_cc_ccs,0.722,5.5455,0.319861,0.618,4.1227,0.237702,0.10399999999999998,1.4227999999999996,0.08215900000000001
LOAD-HI,2029,gas_ct,31.883,158.9556,92.474047,31.883,95.6822,51.780247,0.0,63.27340000000001,40.693799999999996
LOAD-HI,2029,gas_st,9.758,41.3018,22.550069,9.758,24.2491,11.959903,0.0,17.0527,10.590166
LOAD-HI,2029,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI,2029,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
LOAD-HI,2029,oil,3.292,6.3728,6.288089,3.292,0.7542,0.746958,0.0,5.6186,5.541131
LOAD-HI,2029,solar,12.65,20.0877,0.0,12.65,20.0877,0.0,0.0,0.0,0.0
LOAD-HI,2029,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
LOAD-HI,2030,biomass,1.85,14.9071,1.050756,1.85,14.8351,1.017784,0.0,0.07199999999999918,0.032972
LOAD-HI,2030,coal,30.66,220.4139,212.437834,30.66,220.4139,212.437834,0.0,0.0,0.0
LOAD-HI,2030,gas_cc,38.605,293.2265,118.162755,38.709,275.3173,110.912594,-0.10400000000000631,17.9092,7.250161000000006
LOAD-HI,2030,gas_cc_ccs,0.722,5.5455,0.319861,0.618,4.6908,0.270461,0.10399999999999998,0.8546999999999993,0.0494
LOAD-HI,2030,gas_ct,42.148,181.6767,107.847252,42.148,120.6484,67.615911,0.0,61.028300000000016,40.231341
LOAD-HI,2030,gas_st,9.758,50.3816,28.064188,9.758,30.248,15.75022,0.0,20.133599999999998,12.313968000000001
LOAD-HI,2030,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI,2030,nuclear,10.902,85.3676,0.0,10.902,85.3676,0.0,0.0,0.0,0.0
LOAD-HI,2030,oil,3.173,14.7785,14.734989,3.173,2.1995,2.196494,0.0,12.578999999999999,12.538495000000001
LOAD-HI,2030,solar,13.0,20.7617,0.0,13.0,20.7617,0.0,0.0,0.0,0.0
LOAD-HI,2030,wind,36.0,106.7443,0.0,36.0,106.7443,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,biomass,1.866,12.39,0.17247,1.866,12.0065,0.090843,0.0,0.38349999999999973,0.08162700000000002
LOAD-HI-ORGANIC,2026,coal,41.207,295.1759,282.717934,41.207,293.8332,281.286191,0.0,1.3427000000000362,1.43174300000004
LOAD-HI-ORGANIC,2026,gas_cc,35.605,193.5617,79.29534,35.605,168.5808,68.957,0.0,24.98089999999999,10.338340000000002
LOAD-HI-ORGANIC,2026,gas_ct,24.902,36.61,18.086004,24.902,28.2843,13.187274,0.0,8.325699999999998,4.898729999999999
LOAD-HI-ORGANIC,2026,gas_st,11.614,15.0848,6.544364,11.614,12.145,4.955673,0.0,2.9398,1.5886909999999999
LOAD-HI-ORGANIC,2026,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,oil,3.275,0.2294,0.226682,3.275,0.059,0.058283,0.0,0.1704,0.168399
LOAD-HI-ORGANIC,2026,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2027,biomass,1.866,14.3521,0.70232,1.866,13.7708,0.578958,0.0,0.5813000000000006,0.12336200000000008
LOAD-HI-ORGANIC,2027,coal,38.839,273.3769,260.911591,38.839,265.5531,253.001001,0.0,7.823800000000006,7.910589999999985
