case,year,tech,potential_mwh,delivered_mwh,curtailed_mwh,curtailment_rate,curtailed_mwh_bau,curtailment_rate_bau,curtailed_mwh_delta,curtailment_rate_delta
LOAD-HI,2026,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2026,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2027,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2027,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2028,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2028,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2029,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2029,solar,20087677.954935797,20087677.954935797,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2030,wind,106744328.33156222,106744328.33156222,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI,2030,solar,20761677.144599475,20761677.14459948,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2026,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2027,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2027,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2028,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2028,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2029,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2029,solar,20087677.954935797,20087677.954935797,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2030,wind,106744328.33156222,106744328.33156222,0.0,0.0,0.0,0.0,0.0,0.0
LOAD-HI-ORGANIC,2030,solar,20761677.144599475,20761677.14459948,0.0,0.0,0.0,0.0,0.0,0.0
REF,2026,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
REF,2026,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
REF,2027,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
REF,2027,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
REF,2028,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
REF,2028,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
REF,2029,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
REF,2029,solar,20087677.954935797,20087677.954935797,0.0,0.0,0.0,0.0,0.0,0.0
REF,2030,wind,106744328.33156222,106744328.33156222,0.0,0.0,0.0,0.0,0.0,0.0
REF,2030,solar,20761677.144599475,20761677.14459948,0.0,0.0,0.0,0.0,0.0,0.0
