case,year,tech,captured_price_usd_per_mwh,source,captured_price_usd_per_mwh_bau,captured_price_usd_per_mwh_delta
LOAD-HI,2026,wind,51.43849695654454,dispatch_cache,51.26481566909836,0.17368128744617906
LOAD-HI,2026,solar,50.22066835997473,dispatch_cache,50.02423561245271,0.19643274752201734
LOAD-HI,2027,wind,50.52525082044896,dispatch_cache,50.3728317108129,0.15241910963605676
LOAD-HI,2027,solar,49.85912521273355,dispatch_cache,49.742453292067424,0.11667192066612841
LOAD-HI,2028,wind,53.878074649935556,dispatch_cache,53.791485765725334,0.08658888421022226
LOAD-HI,2028,solar,53.37986547032103,dispatch_cache,53.17132046857687,0.2085450017441559
LOAD-HI,2029,wind,58.892866152098655,dispatch_cache,58.7744270841406,0.11843906795805736
LOAD-HI,2029,solar,57.302671394296496,dispatch_cache,56.991575589552944,0.3110958047435517
LOAD-HI,2030,wind,66.63100658641085,dispatch_cache,66.11103570895519,0.5199708774556626
LOAD-HI,2030,solar,63.336052593599106,dispatch_cache,62.707120900858165,0.6289316927409416
REF,2026,wind,51.26481566909836,dispatch_cache,51.26481566909836,0.0
REF,2026,solar,50.02423561245271,dispatch_cache,50.02423561245271,0.0
REF,2027,wind,50.3728317108129,dispatch_cache,50.3728317108129,0.0
REF,2027,solar,49.742453292067424,dispatch_cache,49.742453292067424,0.0
REF,2028,wind,53.791485765725334,dispatch_cache,53.791485765725334,0.0
REF,2028,solar,53.17132046857687,dispatch_cache,53.17132046857687,0.0
REF,2029,wind,58.7744270841406,dispatch_cache,58.7744270841406,0.0
REF,2029,solar,56.991575589552944,dispatch_cache,56.991575589552944,0.0
REF,2030,wind,66.11103570895519,dispatch_cache,66.11103570895519,0.0
REF,2030,solar,62.707120900858165,dispatch_cache,62.707120900858165,0.0
