case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
LOAD-HI,2026,16.2761,4.568258,15.8319,4.536035,0.4442000000000004,0.03222300000000011,0.4442000000000004,0.03222300000000011
LOAD-HI,2027,17.7404,4.448649,17.096,4.376392,0.644400000000001,0.07225699999999957,1.0886000000000013,0.10447999999999968
LOAD-HI,2028,10.673,4.538111,9.8722,4.48715,0.8008000000000006,0.050961000000000034,1.889400000000002,0.15544099999999972
LOAD-HI,2029,5.2391,4.463386,4.7566,4.369626,0.48249999999999993,0.09375999999999962,2.371900000000002,0.24920099999999934
LOAD-HI,2030,6.357,4.877149,6.1058,4.765739,0.25119999999999987,0.11141000000000023,2.6231000000000018,0.36061099999999957
REF,2026,15.8319,4.536035,15.8319,4.536035,0.0,0.0,0.0,0.0
REF,2027,17.096,4.376392,17.096,4.376392,0.0,0.0,0.0,0.0
REF,2028,9.8722,4.48715,9.8722,4.48715,0.0,0.0,0.0,0.0
REF,2029,4.7566,4.369626,4.7566,4.369626,0.0,0.0,0.0,0.0
REF,2030,6.1058,4.765739,6.1058,4.765739,0.0,0.0,0.0,0.0
