case,year,zone,emissions_mt,emissions_mt_bau,emissions_mt_delta
LOAD-HI,2026,Boston,3.925601,3.820994,0.10460700000000012
LOAD-HI,2026,Central,2.284151,2.147567,0.13658400000000004
LOAD-HI,2026,Connecticut,6.791419,6.715436,0.07598299999999991
LOAD-HI,2026,HQ_import,0.0,0.0,0.0
LOAD-HI,2026,North,3.27488,3.147892,0.12698799999999988
LOAD-HI,2027,Boston,3.970807,3.871923,0.09888400000000042
LOAD-HI,2027,Central,2.298449,2.16731,0.13113900000000012
LOAD-HI,2027,Connecticut,6.851455,6.676713,0.1747419999999993
LOAD-HI,2027,HQ_import,0.0,0.0,0.0
LOAD-HI,2027,North,4.619683,4.380082,0.2396010000000004
LOAD-HI,2028,Boston,3.762711,2.917019,0.8456920000000001
LOAD-HI,2028,Central,1.461129,1.488323,-0.027194000000000162
LOAD-HI,2028,Connecticut,2.096811,2.729794,-0.6329829999999999
LOAD-HI,2028,HQ_import,0.0,0.0,0.0
LOAD-HI,2028,North,3.352369,2.737063,0.6153059999999999
LOAD-HI,2029,Boston,1.336232,1.291862,0.04437000000000002
LOAD-HI,2029,Central,0.624132,0.524742,0.09938999999999998
LOAD-HI,2029,Connecticut,1.42668,1.346295,0.08038499999999993
LOAD-HI,2029,HQ_import,0.0,0.0,0.0
LOAD-HI,2029,North,1.852077,1.59366,0.2584169999999999
LOAD-HI,2030,Boston,1.10389,1.058532,0.04535800000000001
LOAD-HI,2030,Central,2.829036,2.694991,0.13404499999999997
LOAD-HI,2030,Connecticut,0.885545,0.867503,0.018042000000000002
LOAD-HI,2030,HQ_import,0.0,0.0,0.0
LOAD-HI,2030,North,1.538525,1.484749,0.053775999999999824
REF,2026,Boston,3.820994,3.820994,0.0
REF,2026,Central,2.147567,2.147567,0.0
REF,2026,Connecticut,6.715436,6.715436,0.0
REF,2026,HQ_import,0.0,0.0,0.0
REF,2026,North,3.147892,3.147892,0.0
REF,2027,Boston,3.871923,3.871923,0.0
REF,2027,Central,2.16731,2.16731,0.0
REF,2027,Connecticut,6.676713,6.676713,0.0
REF,2027,HQ_import,0.0,0.0,0.0
REF,2027,North,4.380082,4.380082,0.0
REF,2028,Boston,2.917019,2.917019,0.0
REF,2028,Central,1.488323,1.488323,0.0
REF,2028,Connecticut,2.729794,2.729794,0.0
REF,2028,HQ_import,0.0,0.0,0.0
REF,2028,North,2.737063,2.737063,0.0
REF,2029,Boston,1.291862,1.291862,0.0
REF,2029,Central,0.524742,0.524742,0.0
REF,2029,Connecticut,1.346295,1.346295,0.0
REF,2029,HQ_import,0.0,0.0,0.0
REF,2029,North,1.59366,1.59366,0.0
REF,2030,Boston,1.058532,1.058532,0.0
REF,2030,Central,2.694991,2.694991,0.0
REF,2030,Connecticut,0.867503,0.867503,0.0
REF,2030,HQ_import,0.0,0.0,0.0
REF,2030,North,1.484749,1.484749,0.0
