case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
LOAD-HI,2026,25.3838,10.578449,23.6923,10.454796,1.6915000000000013,0.1236530000000009,1.6915000000000013,0.1236530000000009
LOAD-HI,2027,27.0653,10.500336,24.5911,10.155616,2.4741999999999997,0.3447200000000006,4.165700000000001,0.4683730000000015
LOAD-HI,2028,27.6646,11.669699,24.1114,11.365839,3.5532000000000004,0.30386000000000024,7.718900000000001,0.7722330000000017
LOAD-HI,2029,27.648,11.617211,23.7539,10.654803,3.894099999999998,0.9624079999999999,11.613,1.7346410000000017
LOAD-HI,2030,26.2336,12.217845,20.8935,11.682477,5.3401,0.5353680000000001,16.9531,2.2700090000000017
LOAD-HI-ORGANIC,2026,25.3734,10.605465,23.6923,10.454796,1.6811000000000007,0.1506690000000006,1.6811000000000007,0.1506690000000006
LOAD-HI-ORGANIC,2027,27.0912,10.506974,24.5911,10.155616,2.5000999999999998,0.3513579999999994,4.1812000000000005,0.502027
LOAD-HI-ORGANIC,2028,27.7283,11.653431,24.1114,11.365839,3.616900000000001,0.28759200000000007,7.798100000000002,0.7896190000000001
LOAD-HI-ORGANIC,2029,27.7468,11.582448,23.7539,10.654803,3.992899999999999,0.927645,11.791,1.7172640000000001
LOAD-HI-ORGANIC,2030,26.3133,12.216457,20.8935,11.682477,5.419800000000002,0.5339799999999997,17.210800000000003,2.251244
REF,2026,23.6923,10.454796,23.6923,10.454796,0.0,0.0,0.0,0.0
REF,2027,24.5911,10.155616,24.5911,10.155616,0.0,0.0,0.0,0.0
REF,2028,24.1114,11.365839,24.1114,11.365839,0.0,0.0,0.0,0.0
REF,2029,23.7539,10.654803,23.7539,10.654803,0.0,0.0,0.0,0.0
REF,2030,20.8935,11.682477,20.8935,11.682477,0.0,0.0,0.0,0.0
