case,year,emissions_mt,import_co2_mt_reported,unserved_mwh,co2_cap_price_usd_per_t,n_co2_caps_binding,nox_tonnes,so2_tonnes,peak_price,curtailment_twh,storage_cycles,clean_share,negative_price_hours,avg_price_usd_per_mwh,backstop_built_mw,backstop_built_mwh,generation_twh,emissions_mt_bau,import_co2_mt_reported_bau,unserved_mwh_bau,co2_cap_price_usd_per_t_bau,n_co2_caps_binding_bau,nox_tonnes_bau,so2_tonnes_bau,peak_price_bau,curtailment_twh_bau,storage_cycles_bau,clean_share_bau,negative_price_hours_bau,avg_price_usd_per_mwh_bau,backstop_built_mw_bau,backstop_built_mwh_bau,generation_twh_bau,emissions_mt_delta,import_co2_mt_reported_delta,unserved_mwh_delta,co2_cap_price_usd_per_t_delta,n_co2_caps_binding_delta,nox_tonnes_delta,so2_tonnes_delta,peak_price_delta,curtailment_twh_delta,storage_cycles_delta,clean_share_delta,negative_price_hours_delta,avg_price_usd_per_mwh_delta,backstop_built_mw_delta,backstop_built_mwh_delta,generation_twh_delta
LOAD-HI,2026,25.3838,10.578449,0.0,0.0,0,6308.48,236.34,70.12,0.0,7.75,0.3819,0.0,50.49,0,0.0,158.3926,23.6923,10.454796,0.0,0.0,0,5782.4,203.01,68.97,0.0,9.68,0.3924,0.0,49.24,0,0.0,154.1237,1.6915000000000013,0.1236530000000009,0.0,0.0,0,526.0799999999999,33.33000000000001,1.1500000000000057,0.0,-1.9299999999999997,-0.01050000000000001,0.0,1.25,0,0.0,4.268899999999974
LOAD-HI,2027,27.0653,10.500336,0.0,0.0,0,6814.94,271.09,68.94,0.0,5.73,0.3723,0.0,50.37,0,0.0,162.4661,24.5911,10.155616,0.0,0.0,0,6068.49,208.74,67.01,0.0,9.26,0.3879,0.0,48.28,0,0.0,155.9434,2.4741999999999997,0.3447200000000006,0.0,0.0,0,746.4499999999998,62.349999999999966,1.9299999999999926,0.0,-3.5299999999999994,-0.015600000000000003,0.0,2.0899999999999963,0,0.0,6.522700000000015
LOAD-HI,2028,27.6646,11.669699,0.0,0.0,0,7690.5,320.44,74.48,0.0,2.29,0.4381,0.0,55.11,0,0.0,166.6393,24.1114,11.365839,0.0,0.0,0,6785.59,224.1,69.39,0.0,2.29,0.446,0.0,53.37,0,0.0,157.7648,3.5532000000000004,0.30386000000000024,0.0,0.0,0,904.9099999999999,96.34,5.090000000000003,0.0,0.0,-0.007900000000000018,0.0,1.740000000000002,0,0.0,8.874499999999983
LOAD-HI,2029,27.648,11.617211,0.0,0.0,0,7549.93,333.68,78.76,0.0,5.84,0.4842,0.0,56.91,0,0.0,170.9427,23.7539,10.654803,0.0,0.0,0,6577.25,228.19,72.4,0.0,5.12,0.4941,0.0,54.76,0,0.0,159.6378,3.894099999999998,0.9624079999999999,0.0,0.0,0,972.6800000000003,105.49000000000001,6.359999999999999,0.0,0.7199999999999998,-0.009899999999999964,0.0,2.1499999999999986,0,0.0,11.304900000000004
LOAD-HI,2030,26.2336,12.217845,0.0,0.0,0,7766.7,372.75,101.91,0.0,4.2,0.5346,0.0,63.83,0,0.0,175.3386,20.8935,11.682477,0.0,0.0,0,6570.96,231.64,81.44,0.0,4.83,0.5465,0.0,60.51,0,0.0,161.5226,5.3401,0.5353680000000001,0.0,0.0,0,1195.7399999999998,141.11,20.47,0.0,-0.6299999999999999,-0.011900000000000022,0.0,3.3200000000000003,0,0.0,13.816000000000003
LOAD-HI-ORGANIC,2026,25.3734,10.605465,0.0,0.0,0,6328.81,242.08,70.18,0.0,8.23,0.3819,0.0,50.49,0,0.0,158.394,23.6923,10.454796,0.0,0.0,0,5782.4,203.01,68.97,0.0,9.68,0.3924,0.0,49.24,0,0.0,154.1237,1.6811000000000007,0.1506690000000006,0.0,0.0,0,546.4100000000008,39.07000000000002,1.210000000000008,0.0,-1.4499999999999993,-0.01050000000000001,0.0,1.25,0,0.0,4.270299999999992
LOAD-HI-ORGANIC,2027,27.0912,10.506974,0.0,0.0,0,6819.7,282.6,70.13,0.0,6.68,0.3723,0.0,50.22,0,0.0,162.469,24.5911,10.155616,0.0,0.0,0,6068.49,208.74,67.01,0.0,9.26,0.3879,0.0,48.28,0,0.0,155.9434,2.5000999999999998,0.3513579999999994,0.0,0.0,0,751.21,73.86000000000001,3.1199999999999903,0.0,-2.58,-0.015600000000000003,0.0,1.9399999999999977,0,0.0,6.525599999999997
LOAD-HI-ORGANIC,2028,27.7283,11.653431,0.0,0.0,0,7759.79,341.15,75.47,0.0,2.36,0.437,0.0,55.13,0,0.0,166.6394,24.1114,11.365839,0.0,0.0,0,6785.59,224.1,69.39,0.0,2.29,0.446,0.0,53.37,0,0.0,157.7648,3.616900000000001,0.28759200000000007,0.0,0.0,0,974.1999999999998,117.04999999999998,6.079999999999998,0.0,0.06999999999999984,-0.009000000000000008,0.0,1.7600000000000051,0,0.0,8.874599999999987
LOAD-HI-ORGANIC,2029,27.7468,11.582448,0.0,0.0,0,7625.97,356.56,92.68,0.0,6.19,0.4831,0.0,56.95,0,0.0,170.9438,23.7539,10.654803,0.0,0.0,0,6577.25,228.19,72.4,0.0,5.12,0.4941,0.0,54.76,0,0.0,159.6378,3.992899999999999,0.927645,0.0,0.0,0,1048.7200000000003,128.37,20.28,0.0,1.0700000000000003,-0.01100000000000001,0.0,2.190000000000005,0,0.0,11.306000000000012
LOAD-HI-ORGANIC,2030,26.3133,12.216457,0.0,0.0,0,7867.87,405.42,287.89,0.0,4.51,0.5336,0.0,64.02,0,0.0,175.3394,20.8935,11.682477,0.0,0.0,0,6570.96,231.64,81.44,0.0,4.83,0.5465,0.0,60.51,0,0.0,161.5226,5.419800000000002,0.5339799999999997,0.0,0.0,0,1296.9099999999999,173.78000000000003,206.45,0.0,-0.3200000000000003,-0.012900000000000023,0.0,3.509999999999998,0,0.0,13.8168
