case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
LOAD-HI,2026,biomass,1.745,9.1235,0.0,1.745,8.3144,0.0,0.0,0.8091000000000008,0.0
LOAD-HI,2026,coal,35.433,241.8763,247.810329,35.433,233.876,239.073237,0.0,8.000299999999982,8.73709199999999
LOAD-HI,2026,gas_cc,59.719,373.3739,145.433785,59.719,323.0629,125.130826,0.0,50.31099999999998,20.302959
LOAD-HI,2026,gas_ct,26.392,24.1837,13.92014,26.392,12.4517,7.051078,0.0,11.732000000000001,6.869062
LOAD-HI,2026,gas_st,9.49,6.7329,3.246725,9.49,4.5447,1.939731,0.0,2.1882,1.306994
LOAD-HI,2026,hydro,3.301,9.2524,0.0,3.301,9.2524,0.0,0.0,0.0,0.0
LOAD-HI,2026,import,4.0,3.4595,0.0,4.0,0.2787,0.0,0.0,3.1807999999999996,0.0
LOAD-HI,2026,nuclear,33.492,277.2398,0.0,33.492,277.2398,0.0,0.0,0.0,0.0
LOAD-HI,2026,oil,4.408,0.1407,0.141551,4.408,0.0,0.0,0.0,0.1407,0.141551
LOAD-HI,2026,solar,14.0,23.2963,0.0,14.0,23.2963,0.0,0.0,0.0,0.0
LOAD-HI,2026,wind,11.0,29.764,0.0,11.0,29.764,0.0,0.0,0.0,0.0
LOAD-HI,2027,biomass,1.745,11.9727,0.0,1.745,10.6441,0.0,0.0,1.3285999999999998,0.0
LOAD-HI,2027,coal,34.321,241.1519,247.634763,34.321,226.8996,231.916531,0.0,14.25230000000002,15.718232
LOAD-HI,2027,gas_cc,59.719,432.1167,170.131879,59.719,375.8075,146.331259,0.0,56.309199999999976,23.80062000000001
LOAD-HI,2027,gas_ct,26.206,58.628,34.464147,27.048,22.4345,12.67092,-0.8419999999999987,36.1935,21.793226999999995
LOAD-HI,2027,gas_st,9.49,13.5982,7.427804,9.49,5.9446,2.756014,0.0,7.6536,4.67179
LOAD-HI,2027,hydro,3.301,9.2524,0.0,3.301,9.2524,0.0,0.0,0.0,0.0
LOAD-HI,2027,import,4.0,8.0981,0.0,4.0,0.5348,0.0,0.0,7.563300000000001,0.0
LOAD-HI,2027,nuclear,33.492,277.2398,0.0,33.492,277.2398,0.0,0.0,0.0,0.0
LOAD-HI,2027,oil,4.408,0.9199,0.935221,4.408,0.0005,0.000444,0.0,0.9194000000000001,0.934777
LOAD-HI,2027,solar,14.0,23.2963,0.0,14.0,23.2963,0.0,0.0,0.0,0.0
LOAD-HI,2027,wind,11.0,29.764,0.0,11.0,29.764,0.0,0.0,0.0,0.0
LOAD-HI,2028,biomass,1.745,13.4217,0.0,1.745,11.5419,0.0,0.0,1.8797999999999995,0.0
