case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
LOAD-HI,2026,410.5525,1.835794,373.1949,0.759451,37.35759999999999,1.076343,37.35759999999999,1.076343
LOAD-HI,2027,460.5938,3.677079,393.6752,0.911573,66.91859999999997,2.7655060000000002,104.27619999999996,3.8418490000000003
LOAD-HI,2028,514.1168,8.694367,418.6273,2.445341,95.48950000000002,6.249026,199.76569999999998,10.090875
LOAD-HI,2029,563.7022,11.774795,436.3875,3.285852,127.31469999999996,8.488942999999999,327.08039999999994,18.579818
LOAD-HI,2030,619.0785,14.947709,470.4553,5.846603,148.62319999999994,9.101106,475.7035999999999,27.680923999999997
REF,2026,373.1949,0.759451,373.1949,0.759451,0.0,0.0,0.0,0.0
REF,2027,393.6752,0.911573,393.6752,0.911573,0.0,0.0,0.0,0.0
REF,2028,418.6273,2.445341,418.6273,2.445341,0.0,0.0,0.0,0.0
REF,2029,436.3875,3.285852,436.3875,3.285852,0.0,0.0,0.0,0.0
REF,2030,470.4553,5.846603,470.4553,5.846603,0.0,0.0,0.0,0.0
