case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
CES-P10,2026,214.3925,0.0,214.3925,0.0,0.0,0.0,0.0,0.0
CES-P10,2027,255.9732,0.0,255.9732,0.0,0.0,0.0,0.0,0.0
CES-P10,2028,278.0581,0.0,278.0581,0.0,0.0,0.0,0.0,0.0
CES-P10,2029,287.6098,0.0,287.6098,0.0,0.0,0.0,0.0,0.0
CES-P10,2030,302.8355,0.0,302.8355,0.0,0.0,0.0,0.0,0.0
CES-P20,2026,214.3926,0.0,214.3925,0.0,9.999999997489795e-05,0.0,9.999999997489795e-05,0.0
CES-P20,2027,255.9732,0.0,255.9732,0.0,0.0,0.0,9.999999997489795e-05,0.0
CES-P20,2028,278.041,0.0,278.0581,0.0,-0.01710000000002765,0.0,-0.01700000000005275,0.0
CES-P20,2029,287.9521,0.0,287.6098,0.0,0.3422999999999661,0.0,0.3252999999999133,0.0
CES-P20,2030,303.0789,0.0,302.8355,0.0,0.24339999999995143,0.0,0.5686999999998648,0.0
CES-P30,2026,214.3926,0.0,214.3925,0.0,9.999999997489795e-05,0.0,9.999999997489795e-05,0.0
CES-P30,2027,255.9732,0.0,255.9732,0.0,0.0,0.0,9.999999997489795e-05,0.0
CES-P30,2028,278.0899,0.0,278.0581,0.0,0.031799999999975626,0.0,0.031899999999950523,0.0
CES-P30,2029,285.7629,0.0,287.6098,0.0,-1.846900000000005,0.0,-1.8150000000000546,0.0
CES-P30,2030,299.586,0.0,302.8355,0.0,-3.249500000000012,0.0,-5.064500000000066,0.0
