case,year,zone,emissions_mt,emissions_mt_bau,emissions_mt_delta
CES-P10,2026,Houston,40.638302,40.638302,0.0
CES-P10,2026,North,74.828781,74.828781,0.0
CES-P10,2026,Northeast,19.445737,19.445737,0.0
CES-P10,2026,South,20.097238,20.097238,0.0
CES-P10,2026,South_Central,53.795452,53.795452,0.0
CES-P10,2026,West,5.587018,5.587018,0.0
CES-P10,2027,Houston,54.065157,54.065157,0.0
CES-P10,2027,North,86.03463,86.03463,0.0
CES-P10,2027,Northeast,20.549661,20.549661,0.0
CES-P10,2027,South,23.712466,23.712466,0.0
CES-P10,2027,South_Central,59.753997,59.753997,0.0
CES-P10,2027,West,11.857295,11.857295,0.0
CES-P10,2028,Houston,68.325404,68.325404,0.0
CES-P10,2028,North,87.623131,87.623131,0.0
CES-P10,2028,Northeast,21.086073,21.086073,0.0
CES-P10,2028,South,25.968251,25.968251,0.0
CES-P10,2028,South_Central,60.308007,60.308007,0.0
CES-P10,2028,West,14.747284,14.747284,0.0
CES-P10,2029,Houston,69.401151,69.401151,0.0
CES-P10,2029,North,93.549679,93.549679,0.0
CES-P10,2029,Northeast,21.065474,21.065474,0.0
CES-P10,2029,South,26.253189,26.253189,0.0
CES-P10,2029,South_Central,58.176867,58.176867,0.0
CES-P10,2029,West,19.163424,19.163424,0.0
CES-P10,2030,Houston,72.09422,72.09422,0.0
CES-P10,2030,North,105.228085,105.228085,0.0
CES-P10,2030,Northeast,20.993038,20.993038,0.0
CES-P10,2030,South,26.432054,26.432054,0.0
CES-P10,2030,South_Central,58.828172,58.828172,0.0
CES-P10,2030,West,19.259896,19.259896,0.0
CES-P20,2026,Houston,40.638316,40.638302,1.4000000000180535e-05
CES-P20,2026,North,74.828752,74.828781,-2.9000000012047167e-05
CES-P20,2026,Northeast,19.445737,19.445737,0.0
CES-P20,2026,South,20.097192,20.097238,-4.6000000001100716e-05
CES-P20,2026,South_Central,53.795426,53.795452,-2.5999999998305157e-05
CES-P20,2026,West,5.587157,5.587018,0.0001390000000007774
CES-P20,2027,Houston,54.06517,54.065157,1.3000000002705292e-05
CES-P20,2027,North,86.034628,86.03463,-2.00000000916134e-06
CES-P20,2027,Northeast,20.549661,20.549661,0.0
CES-P20,2027,South,23.712461,23.712466,-4.9999999980343546e-06
CES-P20,2027,South_Central,59.753994,59.753997,-2.9999999995311555e-06
CES-P20,2027,West,11.857291,11.857295,-4.000000000559112e-06
CES-P20,2028,Houston,68.317776,68.325404,-0.00762800000001107
CES-P20,2028,North,87.61928,87.623131,-0.0038509999999973843
CES-P20,2028,Northeast,21.085192,21.086073,-0.0008809999999996876
CES-P20,2028,South,25.968822,25.968251,0.0005710000000007653
CES-P20,2028,South_Central,60.304996,60.308007,-0.003011000000000763
CES-P20,2028,West,14.744902,14.747284,-0.0023820000000007724
CES-P20,2029,Houston,69.115369,69.401151,-0.28578199999999754
CES-P20,2029,North,92.237445,93.549679,-1.3122340000000037
CES-P20,2029,Northeast,21.065137,21.065474,-0.00033699999999825536
CES-P20,2029,South,26.249965,26.253189,-0.0032239999999994495
CES-P20,2029,South_Central,59.951428,58.176867,1.7745609999999985
CES-P20,2029,West,19.33275,19.163424,0.16932600000000164
CES-P20,2030,Houston,71.646897,72.09422,-0.44732300000001146
CES-P20,2030,North,103.884499,105.228085,-1.3435859999999877
CES-P20,2030,Northeast,20.987373,20.993038,-0.0056649999999969225
CES-P20,2030,South,26.419291,26.432054,-0.012762999999999636
CES-P20,2030,South_Central,60.547082,58.828172,1.718910000000001
CES-P20,2030,West,19.593708,19.259896,0.3338119999999982
CES-P30,2026,Houston,40.638283,40.638302,-1.9000000001767603e-05
CES-P30,2026,North,74.828915,74.828781,0.00013399999998853218
CES-P30,2026,Northeast,19.445737,19.445737,0.0
CES-P30,2026,South,20.09715,20.097238,-8.800000000164232e-05
CES-P30,2026,South_Central,53.795374,53.795452,-7.799999999491547e-05
CES-P30,2026,West,5.587113,5.587018,9.500000000084441e-05
CES-P30,2027,Houston,54.065171,54.065157,1.4000000000180535e-05
CES-P30,2027,North,86.034756,86.03463,0.00012599999999451938
CES-P30,2027,Northeast,20.549661,20.549661,0.0
CES-P30,2027,South,23.712451,23.712466,-1.4999999997655777e-05
CES-P30,2027,South_Central,59.753901,59.753997,-9.599999999920783e-05
CES-P30,2027,West,11.85726,11.857295,-3.500000000045134e-05
CES-P30,2028,Houston,67.868393,68.325404,-0.4570110000000085
CES-P30,2028,North,88.060243,87.623131,0.43711199999999906
CES-P30,2028,Northeast,21.086073,21.086073,0.0
CES-P30,2028,South,26.023356,25.968251,0.05510500000000107
CES-P30,2028,South_Central,60.304618,60.308007,-0.0033890000000056375
CES-P30,2028,West,14.747216,14.747284,-6.800000000062312e-05
CES-P30,2029,Houston,69.567866,69.401151,0.1667149999999964
CES-P30,2029,North,89.46895,93.549679,-4.080728999999991
CES-P30,2029,Northeast,21.0901,21.065474,0.02462600000000137
CES-P30,2029,South,26.377737,26.253189,0.12454800000000077
CES-P30,2029,South_Central,60.072973,58.176867,1.896105999999996
CES-P30,2029,West,19.185278,19.163424,0.02185400000000115
CES-P30,2030,Houston,71.595403,72.09422,-0.4988170000000025
CES-P30,2030,North,102.302806,105.228085,-2.925278999999989
CES-P30,2030,Northeast,20.988905,20.993038,-0.004132999999999498
CES-P30,2030,South,26.487582,26.432054,0.05552799999999891
CES-P30,2030,South_Central,60.542416,58.828172,1.7142440000000008
CES-P30,2030,West,17.668873,19.259896,-1.5910229999999999
