case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
ALL-CLEAN,2026,coal,13.964,95.6715,100.69106,13.964,95.6731,100.692782,0.0,-0.001600000000010482,-0.0017220000000008895
ALL-CLEAN,2026,gas_cc,37.241,256.9288,106.887395,37.241,222.0975,90.386413,0.0,34.83130000000003,16.500981999999993
ALL-CLEAN,2026,gas_ct,10.852,49.4849,26.795491,10.852,27.6031,13.848555,0.0,21.881800000000002,12.946935999999999
ALL-CLEAN,2026,gas_st,11.296,34.9799,21.644575,11.296,15.7396,9.465206,0.0,19.2403,12.179369
ALL-CLEAN,2026,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
ALL-CLEAN,2026,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
ALL-CLEAN,2026,solar,38.0,75.065,0.0,38.0,74.387,0.0,0.0,0.6779999999999973,0.0
ALL-CLEAN,2026,wind,42.0,126.5284,0.0,42.0,122.8726,0.0,0.0,3.6557999999999993,0.0
ALL-CLEAN,2027,coal,13.964,95.0726,100.064112,13.964,94.7487,99.725023,0.0,0.32389999999999475,0.3390890000000013
ALL-CLEAN,2027,gas_cc,37.241,278.5381,120.163337,37.241,255.0944,106.286538,0.0,23.44369999999998,13.876799000000005
ALL-CLEAN,2027,gas_ct,11.419,79.1327,45.366636,11.419,54.018,29.318275,0.0,25.1147,16.048361
ALL-CLEAN,2027,gas_st,10.85,52.3034,33.156266,10.85,33.1525,20.641909,0.0,19.1509,12.514357000000004
ALL-CLEAN,2027,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,solar,38.1,75.2438,0.0,38.1,74.5209,0.0,0.0,0.7228999999999957,0.0
ALL-CLEAN,2027,wind,42.553,128.1514,0.0,42.553,123.9664,0.0,0.0,4.185000000000002,0.0
ALL-CLEAN,2028,coal,13.398,90.4044,94.930218,13.398,90.4202,94.947079,0.0,-0.015799999999998704,-0.016861000000005788
ALL-CLEAN,2028,gas_cc,34.919,262.4732,113.59724,34.929,255.4369,110.061121,-0.010000000000005116,7.036300000000011,3.5361189999999993
ALL-CLEAN,2028,gas_cc_ccs,2.996,22.8861,1.000485,2.986,22.8763,0.85052,0.009999999999999787,0.009799999999998477,0.14996500000000001
ALL-CLEAN,2028,gas_ct,11.726,84.5825,48.783742,11.726,75.658,42.677607,0.0,8.924499999999995,6.106134999999995
ALL-CLEAN,2028,gas_st,10.85,53.7424,34.199358,10.85,46.7228,29.504752,0.0,7.019600000000004,4.694605999999997
ALL-CLEAN,2028,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
ALL-CLEAN,2028,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
ALL-CLEAN,2028,solar,38.1,75.2438,0.0,38.1,75.2438,0.0,0.0,0.0,0.0
ALL-CLEAN,2028,wind,42.553,128.1514,0.0,42.553,128.1514,0.0,0.0,0.0,0.0
ALL-CLEAN,2029,coal,13.398,89.8233,94.321457,13.398,89.8249,94.32311,0.0,-0.001599999999996271,-0.0016530000000045675
ALL-CLEAN,2029,gas_cc,36.264,274.5014,117.274267,36.305,271.2956,116.256238,-0.04099999999999682,3.2058000000000106,1.0180289999999985
ALL-CLEAN,2029,gas_cc_ccs,5.996,46.2753,1.901802,5.955,46.0194,1.733354,0.04100000000000037,0.255900000000004,0.16844799999999993
ALL-CLEAN,2029,gas_ct,14.072,103.9591,58.648061,11.726,79.6981,45.349597,2.3459999999999983,24.26100000000001,13.298463999999996
ALL-CLEAN,2029,gas_st,10.404,51.0125,32.621323,10.404,47.6145,30.290753,0.0,3.3980000000000032,2.330569999999998
ALL-CLEAN,2029,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
ALL-CLEAN,2029,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
ALL-CLEAN,2029,solar,39.655,78.7664,0.0,42.0,84.0808,0.0,-2.344999999999999,-5.314399999999992,0.0
ALL-CLEAN,2029,wind,47.0,141.7515,0.0,47.0,141.7515,0.0,0.0,0.0,0.0
ALL-CLEAN,2030,coal,13.398,89.2285,93.698084,13.398,89.2285,93.698084,0.0,0.0,0.0
ALL-CLEAN,2030,gas_cc,36.264,273.7904,116.958724,36.305,272.8925,117.70608,-0.04099999999999682,0.8978999999999928,-0.7473559999999964
ALL-CLEAN,2030,gas_cc_ccs,8.996,71.1808,2.798053,8.955,70.9407,2.630386,0.04100000000000037,0.2400999999999982,0.1676669999999998
ALL-CLEAN,2030,gas_ct,17.072,128.7831,71.290604,14.072,102.0889,57.347768,3.0,26.694199999999995,13.942836
ALL-CLEAN,2030,gas_st,10.404,50.5883,32.353442,10.404,49.6504,31.696632,0.0,0.9378999999999991,0.6568100000000001
ALL-CLEAN,2030,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
ALL-CLEAN,2030,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
ALL-CLEAN,2030,solar,40.655,81.0323,0.0,46.655,94.6276,0.0,-6.0,-13.595299999999995,0.0
ALL-CLEAN,2030,wind,52.0,157.0433,0.0,49.0,147.8682,0.0,3.0,9.175099999999986,0.0
CES-P20+VOL-HI,2026,coal,13.964,95.6731,100.692782,13.964,95.6731,100.692782,0.0,0.0,0.0
CES-P20+VOL-HI,2026,gas_cc,37.241,222.0975,90.386413,37.241,222.0975,90.386413,0.0,0.0,0.0
CES-P20+VOL-HI,2026,gas_ct,10.852,27.6031,13.848555,10.852,27.6031,13.848555,0.0,0.0,0.0
CES-P20+VOL-HI,2026,gas_st,11.296,15.7396,9.465206,11.296,15.7396,9.465206,0.0,0.0,0.0
CES-P20+VOL-HI,2026,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2026,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2026,solar,38.0,74.387,0.0,38.0,74.387,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2026,wind,42.0,122.8726,0.0,42.0,122.8726,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2027,coal,13.964,94.7487,99.725023,13.964,94.7487,99.725023,0.0,0.0,0.0
CES-P20+VOL-HI,2027,gas_cc,37.241,255.0944,106.286538,37.241,255.0944,106.286538,0.0,0.0,0.0
CES-P20+VOL-HI,2027,gas_ct,11.419,54.018,29.318275,11.419,54.018,29.318275,0.0,0.0,0.0
CES-P20+VOL-HI,2027,gas_st,10.85,33.1525,20.641909,10.85,33.1525,20.641909,0.0,0.0,0.0
CES-P20+VOL-HI,2027,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2027,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2027,solar,38.1,74.5209,0.0,38.1,74.5209,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2027,wind,42.553,123.9664,0.0,42.553,123.9664,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2028,coal,13.398,90.4202,94.947079,13.398,90.4202,94.947079,0.0,0.0,0.0
CES-P20+VOL-HI,2028,gas_cc,34.929,255.4369,110.061121,34.929,255.4369,110.061121,0.0,0.0,0.0
CES-P20+VOL-HI,2028,gas_cc_ccs,2.986,22.8763,0.85052,2.986,22.8763,0.85052,0.0,0.0,0.0
CES-P20+VOL-HI,2028,gas_ct,11.726,75.658,42.677607,11.726,75.658,42.677607,0.0,0.0,0.0
CES-P20+VOL-HI,2028,gas_st,10.85,46.7228,29.504752,10.85,46.7228,29.504752,0.0,0.0,0.0
CES-P20+VOL-HI,2028,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2028,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2028,solar,38.1,75.2438,0.0,38.1,75.2438,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2028,wind,42.553,128.1514,0.0,42.553,128.1514,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2029,coal,13.398,89.8249,94.32311,13.398,89.8249,94.32311,0.0,0.0,0.0
CES-P20+VOL-HI,2029,gas_cc,36.305,271.2956,116.256238,36.305,271.2956,116.256238,0.0,0.0,0.0
CES-P20+VOL-HI,2029,gas_cc_ccs,5.955,46.0194,1.733354,5.955,46.0194,1.733354,0.0,0.0,0.0
CES-P20+VOL-HI,2029,gas_ct,11.726,79.6981,45.349597,11.726,79.6981,45.349597,0.0,0.0,0.0
CES-P20+VOL-HI,2029,gas_st,10.404,47.6145,30.290753,10.404,47.6145,30.290753,0.0,0.0,0.0
CES-P20+VOL-HI,2029,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2029,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2029,solar,42.0,84.0808,0.0,42.0,84.0808,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2029,wind,47.0,141.7515,0.0,47.0,141.7515,0.0,0.0,0.0,0.0
CES-P20+VOL-HI,2030,coal,13.398,89.2285,93.698084,13.398,89.2285,93.698084,0.0,0.0,0.0
CES-P20+VOL-HI,2030,gas_cc,36.305,272.8925,117.70608,36.305,272.8925,117.70608,0.0,0.0,0.0
CES-P20+VOL-HI,2030,gas_cc_ccs,8.955,70.9407,2.630386,8.955,70.9407,2.630386,0.0,0.0,0.0
CES-P20+VOL-HI,2030,gas_ct,14.072,102.0889,57.347768,14.072,102.0889,57.347768,0.0,0.0,0.0
CES-P20+VOL-HI,2030,gas_st,10.404,49.6504,31.696632,10.404,49.6504,31.696632,0.0,0.0,0.0
