case,year,event,tech,mw,mw_bau,mw_delta
ALL-CLEAN,2027,build,gas_ct,880.0,880.0,0.0
ALL-CLEAN,2027,build,solar,100.0,100.0,0.0
ALL-CLEAN,2027,build,wind,553.1,553.1,0.0
ALL-CLEAN,2028,build,gas_cc,674.0,674.0,0.0
ALL-CLEAN,2028,build,gas_ct,411.0,411.0,0.0
ALL-CLEAN,2028,retrofit,gas_cc_ccs,2995.76,2986.03,9.730000000000018
ALL-CLEAN,2029,build,gas_cc,4344.8,4344.8,0.0
ALL-CLEAN,2029,build,gas_ct,2345.4,0.0,2345.4
ALL-CLEAN,2029,build,solar,1554.6000000000004,3900.0,-2345.3999999999996
ALL-CLEAN,2029,build,wind,4446.9,4446.9,0.0
ALL-CLEAN,2029,retirement,gas_st,446.0000000000001,446.0000000000001,0.0
ALL-CLEAN,2029,retrofit,gas_cc_ccs,2999.91,2968.56,31.34999999999991
ALL-CLEAN,2030,build,gas_cc,3000.0,3000.0,0.0
ALL-CLEAN,2030,build,gas_ct,3000.0,2345.4,654.5999999999999
ALL-CLEAN,2030,build,solar,1000.0,4654.6,-3654.6000000000004
ALL-CLEAN,2030,build,wind,5000.0,2000.0,3000.0
ALL-CLEAN,2030,retrofit,gas_cc_ccs,3000.0,3000.0,0.0
CES-P20+VOL-HI,2027,build,gas_ct,880.0,880.0,0.0
CES-P20+VOL-HI,2027,build,solar,100.0,100.0,0.0
CES-P20+VOL-HI,2027,build,wind,553.1,553.1,0.0
CES-P20+VOL-HI,2028,build,gas_cc,674.0,674.0,0.0
CES-P20+VOL-HI,2028,build,gas_ct,411.0,411.0,0.0
CES-P20+VOL-HI,2028,retrofit,gas_cc_ccs,2986.03,2986.03,0.0
CES-P20+VOL-HI,2029,build,gas_cc,4344.8,4344.8,0.0
CES-P20+VOL-HI,2029,build,solar,3900.0,3900.0,0.0
CES-P20+VOL-HI,2029,build,wind,4446.9,4446.9,0.0
CES-P20+VOL-HI,2029,retirement,gas_st,446.0000000000001,446.0000000000001,0.0
CES-P20+VOL-HI,2029,retrofit,gas_cc_ccs,2968.56,2968.56,0.0
CES-P20+VOL-HI,2030,build,gas_cc,3000.0,3000.0,0.0
CES-P20+VOL-HI,2030,build,gas_ct,2345.4,2345.4,0.0
CES-P20+VOL-HI,2030,build,solar,4654.6,4654.6,0.0
CES-P20+VOL-HI,2030,build,wind,2000.0,2000.0,0.0
CES-P20+VOL-HI,2030,retrofit,gas_cc_ccs,3000.0,3000.0,0.0
