case,year,emissions_mt,import_co2_mt_reported,unserved_mwh,co2_cap_price_usd_per_t,n_co2_caps_binding,nox_tonnes,so2_tonnes,peak_price,curtailment_twh,storage_cycles,clean_share,negative_price_hours,avg_price_usd_per_mwh,backstop_built_mw,backstop_built_mwh,generation_twh,emissions_mt_bau,import_co2_mt_reported_bau,unserved_mwh_bau,co2_cap_price_usd_per_t_bau,n_co2_caps_binding_bau,nox_tonnes_bau,so2_tonnes_bau,peak_price_bau,curtailment_twh_bau,storage_cycles_bau,clean_share_bau,negative_price_hours_bau,avg_price_usd_per_mwh_bau,backstop_built_mw_bau,backstop_built_mwh_bau,generation_twh_bau,emissions_mt_delta,import_co2_mt_reported_delta,unserved_mwh_delta,co2_cap_price_usd_per_t_delta,n_co2_caps_binding_delta,nox_tonnes_delta,so2_tonnes_delta,peak_price_delta,curtailment_twh_delta,storage_cycles_delta,clean_share_delta,negative_price_hours_delta,avg_price_usd_per_mwh_delta,backstop_built_mw_delta,backstop_built_mwh_delta,generation_twh_delta
ALL-CLEAN,2026,256.0185,0.0,2656507.536,0.0,0,110184.63,107989.98,5000.0,0.0,69.37,0.3548,598.71,669.6,0,0.0,677.4236,214.393,0.0,381646.255,0.0,0,87048.95,107795.07,5000.0,4.3337,54.64,0.3953,598.71,71.76,0,0.0,597.138,41.62550000000002,0.0,2274861.281,0.0,0,23135.680000000008,194.90999999998894,0.0,-4.3337,14.730000000000004,-0.04049999999999998,0.0,597.84,0,0.0,80.28559999999993
ALL-CLEAN,2027,298.7504,0.0,71322413.27,0.0,0,137637.05,107313.21,5000.0,0.0,42.99,0.3241,624.14,3691.78,0,0.0,747.2071,255.9717,0.0,4621769.859,0.0,0,109329.92,106812.42,5000.0,4.9079,71.59,0.3519,624.14,826.73,0,0.0,674.266,42.778700000000015,0.0,66700643.411,0.0,0,28307.12999999999,500.79000000000815,0.0,-4.9079,-28.6,-0.02779999999999999,0.0,2865.05,0,0.0,72.9411
ALL-CLEAN,2028,292.511,0.0,227788547.823,0.0,0,140126.28,105991.23,5000.0,0.0,1.73,0.349,624.14,4610.94,0,0.0,756.2489,278.0411,0.0,41389215.479,0.0,0,128481.61,105917.22,5000.0,0.0,58.07,0.3599,624.14,2852.23,0,0.0,733.2745,14.469900000000052,0.0,186399332.344,0.0,0,11644.669999999998,74.00999999999476,0.0,0.0,-56.34,-0.01090000000000002,0.0,1758.7099999999996,0,0.0,22.97440000000006
ALL-CLEAN,2029,304.7669,0.0,360984032.038,0.0,0,138114.2,105131.79,5000.0,0.0,0.45,0.3676,624.14,4631.43,0,0.0,824.8546,287.9531,0.0,78669599.036,0.0,0,131653.54,105085.51,5000.0,0.0,49.93,0.3859,624.14,3526.31,0,0.0,799.0499,16.813800000000015,0.0,282314433.002,0.0,0,6460.6600000000035,46.279999999998836,0.0,0.0,-49.48,-0.01830000000000004,0.0,1105.1200000000003,0,0.0,25.804700000000025
ALL-CLEAN,2030,317.0989,0.0,538869515.134,0.0,0,137253.29,104265.21,5000.0,0.0,0.15,0.3869,624.14,4640.21,0,0.0,890.4118,303.0789,0.0,128531459.277,0.0,0,134903.75,104248.99,5000.0,0.0,42.64,0.4026,626.14,4085.98,0,0.0,866.0619,14.020000000000039,0.0,410338055.85699993,0.0,0,2349.540000000008,16.220000000001164,0.0,0.0,-42.49,-0.015699999999999992,-2.0,554.23,0,0.0,24.349899999999934
CES-P20+VOL-HI,2026,214.393,0.0,381646.255,0.0,0,87048.95,107795.07,5000.0,4.3337,54.64,0.3953,598.71,71.76,0,0.0,597.138,214.393,0.0,381646.255,0.0,0,87048.95,107795.07,5000.0,4.3337,54.64,0.3953,598.71,71.76,0,0.0,597.138,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
CES-P20+VOL-HI,2027,255.9717,0.0,4621769.859,0.0,0,109329.92,106812.42,5000.0,4.9079,71.59,0.3519,624.14,826.73,0,0.0,674.266,255.9717,0.0,4621769.859,0.0,0,109329.92,106812.42,5000.0,4.9079,71.59,0.3519,624.14,826.73,0,0.0,674.266,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
CES-P20+VOL-HI,2028,278.0411,0.0,41389215.479,0.0,0,128481.61,105917.22,5000.0,0.0,58.07,0.3599,624.14,2852.23,0,0.0,733.2745,278.0411,0.0,41389215.479,0.0,0,128481.61,105917.22,5000.0,0.0,58.07,0.3599,624.14,2852.23,0,0.0,733.2745,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
CES-P20+VOL-HI,2029,287.9531,0.0,78669599.036,0.0,0,131653.54,105085.51,5000.0,0.0,49.93,0.3859,624.14,3526.31,0,0.0,799.0499,287.9531,0.0,78669599.036,0.0,0,131653.54,105085.51,5000.0,0.0,49.93,0.3859,624.14,3526.31,0,0.0,799.0499,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
CES-P20+VOL-HI,2030,303.0789,0.0,128531459.277,0.0,0,134903.75,104248.99,5000.0,0.0,42.64,0.4026,626.14,4085.98,0,0.0,866.0619,303.0789,0.0,128531459.277,0.0,0,134903.75,104248.99,5000.0,0.0,42.64,0.4026,626.14,4085.98,0,0.0,866.0619,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
