case,year,tech,potential_mwh,delivered_mwh,curtailed_mwh,curtailment_rate,curtailed_mwh_bau,curtailment_rate_bau,curtailed_mwh_delta,curtailment_rate_delta
CARB-LO,2026,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2026,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2027,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2027,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2028,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2028,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2029,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2029,solar,20087677.954935797,20087677.954935797,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2030,wind,106744328.33156222,106744328.33156222,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2030,solar,20761677.144599475,20761677.14459948,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2026,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2026,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2027,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2027,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2028,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2028,solar,9200799.105771318,9200799.105771318,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2029,wind,94368275.84957753,94368275.84957755,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2029,solar,20087677.954935797,20087677.954935797,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2030,wind,106744328.33156222,106744328.33156222,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2030,solar,20761677.144599475,20761677.14459948,0.0,0.0,0.0,0.0,0.0,0.0
