case,year,event,tech,mw,mw_bau,mw_delta
CARB-LO,2027,build,gas_cc,7.3,7.3,0.0
CARB-LO,2027,build,gas_ct,30.8,30.8,0.0
CARB-LO,2027,build,iron_air,2400.0,2400.0,0.0
CARB-LO,2027,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-LO,2027,build,oil,17.0,17.0,0.0
CARB-LO,2027,retirement,coal,2368.0,2368.0,0.0
CARB-LO,2027,retirement,gas_ct,4.1850000000000005,4.1850000000000005,0.0
CARB-LO,2027,retirement,gas_st,522.0,522.0,0.0
CARB-LO,2028,build,gas_cc,714.7,714.7,0.0
CARB-LO,2028,build,gas_ct,2049.3999999999996,2049.3999999999996,0.0
CARB-LO,2028,build,iron_air,2400.0,2400.0,0.0
CARB-LO,2028,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-LO,2028,retirement,coal,3210.0,3210.0,0.0
CARB-LO,2028,retirement,gas_st,417.3,417.3,0.0
CARB-LO,2028,retrofit,gas_cc_ccs,2963.4944,2963.4944,0.0
CARB-LO,2029,build,gas_cc,3000.0,3000.0,0.0
CARB-LO,2029,build,gas_ct,5399.199999999999,5399.199999999999,0.0
CARB-LO,2029,build,iron_air,2400.0,2400.0,0.0
CARB-LO,2029,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-LO,2029,build,solar,5650.2,5650.2,0.0
CARB-LO,2029,retirement,coal,1426.1999999999996,1426.1999999999996,0.0
CARB-LO,2029,retirement,gas_ct,328.2,328.2,0.0
CARB-LO,2029,retirement,gas_st,916.5,916.5,0.0
CARB-LO,2029,retrofit,gas_cc_ccs,2981.4417,2981.4417,0.0
CARB-LO,2030,build,gas_ct,10650.2,10650.2,0.0
CARB-LO,2030,build,iron_air,2400.0,2400.0,0.0
CARB-LO,2030,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-LO,2030,build,solar,349.8000000000002,349.8000000000002,0.0
CARB-LO,2030,build,wind,4000.0,4000.0,0.0
CARB-LO,2030,retirement,biomass,16.0,16.0,0.0
CARB-LO,2030,retirement,coal,790.7000000000002,790.7000000000002,0.0
CARB-LO,2030,retirement,gas_ct,384.4,384.4,0.0
CARB-LO,2030,retirement,nuclear,617.0,617.0,0.0
CARB-LO,2030,retirement,oil,119.0,119.0,0.0
CARB-LO,2030,retrofit,gas_cc_ccs,3000.0,3000.0,0.0
CARB-MID,2027,build,gas_cc,7.3,7.3,0.0
CARB-MID,2027,build,gas_ct,30.8,30.8,0.0
CARB-MID,2027,build,iron_air,2400.0,2400.0,0.0
CARB-MID,2027,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-MID,2027,build,oil,17.0,17.0,0.0
CARB-MID,2027,retirement,coal,2368.0,2368.0,0.0
CARB-MID,2027,retirement,gas_ct,4.1850000000000005,4.1850000000000005,0.0
CARB-MID,2027,retirement,gas_st,522.0,522.0,0.0
CARB-MID,2028,build,gas_cc,714.7,714.7,0.0
CARB-MID,2028,build,gas_ct,2049.3999999999996,2049.3999999999996,0.0
CARB-MID,2028,build,iron_air,2400.0,2400.0,0.0
CARB-MID,2028,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-MID,2028,retirement,coal,3210.0,3210.0,0.0
CARB-MID,2028,retirement,gas_st,417.3,417.3,0.0
CARB-MID,2028,retrofit,gas_cc_ccs,2972.8366,2963.4944,9.342200000000048
CARB-MID,2029,build,gas_cc,3000.0,3000.0,0.0
CARB-MID,2029,build,gas_ct,5399.199999999999,5399.199999999999,0.0
CARB-MID,2029,build,iron_air,2400.0,2400.0,0.0
CARB-MID,2029,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-MID,2029,build,solar,5650.2,5650.2,0.0
CARB-MID,2029,retirement,coal,1426.1999999999996,1426.1999999999996,0.0
CARB-MID,2029,retirement,gas_ct,328.2,328.2,0.0
CARB-MID,2029,retirement,gas_st,916.5,916.5,0.0
CARB-MID,2029,retrofit,gas_cc_ccs,2969.6086999999998,2981.4417,-11.833000000000084
CARB-MID,2030,build,gas_ct,10650.2,10650.2,0.0
CARB-MID,2030,build,iron_air,2400.0,2400.0,0.0
CARB-MID,2030,build,li_ion_4hr,1600.0,1600.0,0.0
CARB-MID,2030,build,solar,349.8000000000002,349.8000000000002,0.0
CARB-MID,2030,build,wind,4000.0,4000.0,0.0
CARB-MID,2030,retirement,biomass,16.0,16.0,0.0
CARB-MID,2030,retirement,coal,790.7000000000002,790.7000000000002,0.0
CARB-MID,2030,retirement,gas_ct,384.4,384.4,0.0
CARB-MID,2030,retirement,nuclear,617.0,617.0,0.0
CARB-MID,2030,retirement,oil,119.0,119.0,0.0
CARB-MID,2030,retrofit,gas_cc_ccs,3000.0,3000.0,0.0
