case,year,emissions_mt,import_co2_mt_reported,unserved_mwh,co2_cap_price_usd_per_t,n_co2_caps_binding,nox_tonnes,so2_tonnes,peak_price,curtailment_twh,storage_cycles,clean_share,negative_price_hours,avg_price_usd_per_mwh,backstop_built_mw,backstop_built_mwh,generation_twh,emissions_mt_bau,import_co2_mt_reported_bau,unserved_mwh_bau,co2_cap_price_usd_per_t_bau,n_co2_caps_binding_bau,nox_tonnes_bau,so2_tonnes_bau,peak_price_bau,curtailment_twh_bau,storage_cycles_bau,clean_share_bau,negative_price_hours_bau,avg_price_usd_per_mwh_bau,backstop_built_mw_bau,backstop_built_mwh_bau,generation_twh_bau,emissions_mt_delta,import_co2_mt_reported_delta,unserved_mwh_delta,co2_cap_price_usd_per_t_delta,n_co2_caps_binding_delta,nox_tonnes_delta,so2_tonnes_delta,peak_price_delta,curtailment_twh_delta,storage_cycles_delta,clean_share_delta,negative_price_hours_delta,avg_price_usd_per_mwh_delta,backstop_built_mw_delta,backstop_built_mwh_delta,generation_twh_delta
CARB-LO,2026,368.5353,0.0,111553.23,0.0,0,209239.32,250479.43,2000.0,0.0,108.8,0.2828,0.0,42.29,0.0,0.0,717.9693,368.5353,0.0,111553.23,0.0,0,209239.32,250479.43,2000.0,0.0,108.8,0.2828,0.0,42.29,0.0,0.0,717.9693,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2027,367.6839,0.0,228902.15,0.0,0,206111.37,216365.05,2000.0,0.0,19.0,0.2679,0.0,51.65,0.0,0.0,757.8358,367.6839,0.0,228902.15,0.0,0,206111.37,216365.05,2000.0,0.0,19.0,0.2679,0.0,51.65,0.0,0.0,757.8358,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2028,371.3789,0.0,698735.076,0.0,0,205063.04,190993.06,2000.0,0.0,13.71,0.2798,0.0,86.4,2049.4,0.0,800.0334,371.3789,0.0,698735.076,0.0,0,205063.04,190993.06,2000.0,0.0,13.71,0.2798,0.0,86.4,2049.4,0.0,800.0334,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2029,371.094,0.0,506183.476,0.0,0,204623.96,190127.39,2000.0,0.0,10.88,0.3026,0.0,83.33,6098.8,0.0,844.6723,371.094,0.0,506183.476,0.0,0,204623.96,190127.39,2000.0,0.0,10.88,0.3026,0.0,83.33,6098.8,0.0,844.6723,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-LO,2030,386.9767,0.0,2824183.485,0.0,0,222019.64,201280.9,2000.0,0.0,10.73,0.3241,0.0,186.48,16098.8,0.0,890.4629,386.9767,0.0,2824183.485,0.0,0,222019.64,201280.9,2000.0,0.0,10.73,0.3241,0.0,186.48,16098.8,0.0,890.4629,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2026,368.5353,0.0,111553.23,0.0,0,209239.32,250479.43,2000.0,0.0,108.8,0.2828,0.0,42.29,0.0,0.0,717.9693,368.5353,0.0,111553.23,0.0,0,209239.32,250479.43,2000.0,0.0,108.8,0.2828,0.0,42.29,0.0,0.0,717.9693,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARB-MID,2027,364.8158,0.0,228902.15,0.0,0,203983.98,210488.43,2000.0,0.0,18.43,0.268,0.0,52.82,0.0,0.0,757.76,367.6839,0.0,228902.15,0.0,0,206111.37,216365.05,2000.0,0.0,19.0,0.2679,0.0,51.65,0.0,0.0,757.8358,-2.86809999999997,0.0,0.0,0.0,0,-2127.389999999985,-5876.619999999995,0.0,0.0,-0.5700000000000003,9.999999999998899e-05,0.0,1.1700000000000017,0.0,0.0,-0.07579999999995835
CARB-MID,2028,368.0646,0.0,698735.076,0.0,0,202210.11,183310.03,2000.0,0.0,13.44,0.2811,0.0,88.53,2049.4,0.0,799.9838,371.3789,0.0,698735.076,0.0,0,205063.04,190993.06,2000.0,0.0,13.71,0.2798,0.0,86.4,2049.4,0.0,800.0334,-3.314300000000003,0.0,0.0,0.0,0,-2852.930000000022,-7683.029999999999,0.0,0.0,-0.27000000000000135,0.0013000000000000234,0.0,2.1299999999999955,0.0,0.0,-0.049600000000054933
CARB-MID,2029,366.4499,0.0,506183.476,0.0,0,201676.8,179681.6,2000.0,0.0,10.78,0.3053,0.0,86.5,6098.8,0.0,844.6504,371.094,0.0,506183.476,0.0,0,204623.96,190127.39,2000.0,0.0,10.88,0.3026,0.0,83.33,6098.8,0.0,844.6723,-4.64409999999998,0.0,0.0,0.0,0,-2947.1600000000035,-10445.790000000008,0.0,0.0,-0.10000000000000142,0.0027000000000000357,0.0,3.1700000000000017,0.0,0.0,-0.02189999999995962
CARB-MID,2030,382.9604,0.0,2824183.485,0.0,0,219051.79,190210.57,2000.0,0.0,10.76,0.3259,0.0,190.77,16098.8,0.0,890.4424,386.9767,0.0,2824183.485,0.0,0,222019.64,201280.9,2000.0,0.0,10.73,0.3241,0.0,186.48,16098.8,0.0,890.4629,-4.016300000000001,0.0,0.0,0.0,0,-2967.850000000006,-11070.329999999987,0.0,0.0,0.02999999999999936,0.0018000000000000238,0.0,4.2900000000000205,0.0,0.0,-0.020499999999969987
