case,year,emissions_mt,import_co2_mt_reported,emissions_mt_bau,import_co2_mt_reported_bau,emissions_mt_delta,import_co2_mt_reported_delta,cumulative_emissions_mt_delta,cumulative_import_co2_mt_reported_delta
CARB-HI,2026,368.5353,0.0,368.5353,0.0,0.0,0.0,0.0,0.0
CARB-HI,2027,358.9829,0.0,358.9829,0.0,0.0,0.0,0.0,0.0
CARB-HI,2028,362.1905,0.0,362.1905,0.0,0.0,0.0,0.0,0.0
CARB-HI,2029,359.0713,0.0,359.0713,0.0,0.0,0.0,0.0,0.0
CARB-HI,2030,375.9099,0.0,375.9099,0.0,0.0,0.0,0.0,0.0
CARB-MID+LOAD-HI,2026,387.0428,0.0,368.5353,0.0,18.507499999999993,0.0,18.507499999999993,0.0
CARB-MID+LOAD-HI,2027,403.1686,0.0,358.9829,0.0,44.185700000000054,0.0,62.69320000000005,0.0
CARB-MID+LOAD-HI,2028,421.3331,0.0,362.1905,0.0,59.142600000000016,0.0,121.83580000000006,0.0
CARB-MID+LOAD-HI,2029,437.3123,0.0,359.0713,0.0,78.24099999999999,0.0,200.07680000000005,0.0
CARB-MID+LOAD-HI,2030,459.9058,0.0,375.9099,0.0,83.9959,0.0,284.07270000000005,0.0
