case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
ALL-CLEAN,2026,biomass,1.866,12.3897,0.17247,1.866,12.0059,0.090843,0.0,0.38379999999999903,0.08162700000000002
ALL-CLEAN,2026,coal,41.207,295.1759,282.717934,41.207,293.8519,281.304553,0.0,1.3240000000000123,1.4133810000000153
ALL-CLEAN,2026,gas_cc,35.605,193.5679,79.297119,35.605,168.5723,68.953143,0.0,24.995599999999996,10.343975999999998
ALL-CLEAN,2026,gas_ct,24.902,36.6043,18.083108,24.902,28.276,13.183281,0.0,8.328300000000002,4.899827
ALL-CLEAN,2026,gas_st,11.614,15.0851,6.544542,11.614,12.1449,4.955668,0.0,2.940200000000001,1.5888739999999997
ALL-CLEAN,2026,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
ALL-CLEAN,2026,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
ALL-CLEAN,2026,oil,3.275,0.2294,0.226872,3.275,0.059,0.058267,0.0,0.1704,0.168605
ALL-CLEAN,2026,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
ALL-CLEAN,2026,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,biomass,1.866,14.4926,0.673993,1.866,13.7771,0.579584,0.0,0.7154999999999987,0.09440899999999997
ALL-CLEAN,2027,coal,38.839,267.7908,255.165722,38.839,265.5474,252.995798,0.0,2.2434000000000083,2.1699239999999804
ALL-CLEAN,2027,gas_cc,35.612,243.6296,99.972089,35.612,216.7045,88.906817,0.0,26.925100000000015,11.065271999999993
ALL-CLEAN,2027,gas_ct,24.929,65.8726,35.595688,24.929,42.492,21.463939,0.0,23.38060000000001,14.131749000000003
ALL-CLEAN,2027,gas_st,11.092,23.1668,11.089331,11.092,16.1368,7.06282,0.0,7.029999999999998,4.026510999999999
ALL-CLEAN,2027,hydro,2.372,9.2925,0.0,2.372,9.2925,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,nuclear,11.519,90.1989,0.0,11.519,90.1989,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,oil,3.292,0.686,0.677143,3.292,0.1595,0.158269,0.0,0.5265000000000001,0.5188740000000001
ALL-CLEAN,2027,solar,7.0,9.2008,0.0,7.0,9.2008,0.0,0.0,0.0,0.0
ALL-CLEAN,2027,wind,32.0,94.3683,0.0,32.0,94.3683,0.0,0.0,0.0,0.0
