case,year,zone,emissions_mt
ALL-CLEAN,2026,Capital_Hudson,10.036234
ALL-CLEAN,2026,Long_Island,1.437351
ALL-CLEAN,2026,Lower_Hudson,0.002452
ALL-CLEAN,2026,NYC,10.112853
ALL-CLEAN,2026,NYISO_external,0.0
ALL-CLEAN,2026,Upstate_West,3.796109
ALL-CLEAN,2027,Capital_Hudson,10.881973
ALL-CLEAN,2027,Long_Island,1.548293
ALL-CLEAN,2027,Lower_Hudson,0.002743
ALL-CLEAN,2027,NYC,10.68996
ALL-CLEAN,2027,NYISO_external,0.0
ALL-CLEAN,2027,Upstate_West,3.943552
ALL-CLEAN,2028,Capital_Hudson,7.235774
ALL-CLEAN,2028,Long_Island,0.874621
ALL-CLEAN,2028,Lower_Hudson,0.003403
ALL-CLEAN,2028,NYC,8.179924
ALL-CLEAN,2028,NYISO_external,0.0
ALL-CLEAN,2028,Upstate_West,3.965391
ALL-CLEAN,2029,Capital_Hudson,2.094022
ALL-CLEAN,2029,Long_Island,0.702047
ALL-CLEAN,2029,Lower_Hudson,0.001558
ALL-CLEAN,2029,NYC,5.608642
ALL-CLEAN,2029,NYISO_external,0.0
ALL-CLEAN,2029,Upstate_West,4.538903
ALL-CLEAN,2030,Capital_Hudson,2.196396
ALL-CLEAN,2030,Long_Island,0.768948
ALL-CLEAN,2030,Lower_Hudson,0.001775
ALL-CLEAN,2030,NYC,5.780611
ALL-CLEAN,2030,NYISO_external,0.0
ALL-CLEAN,2030,Upstate_West,2.540539
