case,year,fuel,capacity_gw,generation_twh,emissions_mt
CAP-STATE-TIGHT,2026,biomass,0.392,2.4794,0.0
CAP-STATE-TIGHT,2026,gas_cc,11.199,54.2721,21.316339
CAP-STATE-TIGHT,2026,gas_ct,3.054,1.3739,0.681093
CAP-STATE-TIGHT,2026,gas_st,9.373,2.3359,1.162568
CAP-STATE-TIGHT,2026,hydro,4.587,26.2129,0.0
CAP-STATE-TIGHT,2026,import,6.47,33.1784,0.0
CAP-STATE-TIGHT,2026,nuclear,3.326,26.9581,0.0
CAP-STATE-TIGHT,2026,oil,2.904,0.0,0.0
CAP-STATE-TIGHT,2026,solar,1.5,2.009,0.0
CAP-STATE-TIGHT,2026,wind,2.4,5.3055,0.0
CAP-STATE-TIGHT,2027,biomass,0.384,2.973,0.0
CAP-STATE-TIGHT,2027,gas_cc,11.199,53.4071,20.628015
CAP-STATE-TIGHT,2027,gas_ct,3.034,1.3385,0.610867
CAP-STATE-TIGHT,2027,gas_st,9.373,2.4557,1.181119
CAP-STATE-TIGHT,2027,hydro,4.587,26.2129,0.0
CAP-STATE-TIGHT,2027,import,6.47,35.2824,0.0
CAP-STATE-TIGHT,2027,nuclear,3.326,26.9581,0.0
CAP-STATE-TIGHT,2027,oil,2.904,0.0,0.0
CAP-STATE-TIGHT,2027,solar,1.5,2.009,0.0
CAP-STATE-TIGHT,2027,wind,2.4,5.3055,0.0
CAP-STATE-TIGHT,2028,biomass,0.384,3.098,0.0
CAP-STATE-TIGHT,2028,gas_cc,11.199,51.8867,19.735049
CAP-STATE-TIGHT,2028,gas_ct,3.034,1.3453,0.586398
CAP-STATE-TIGHT,2028,gas_st,9.373,2.8613,1.358553
CAP-STATE-TIGHT,2028,hydro,4.587,26.2129,0.0
CAP-STATE-TIGHT,2028,import,6.47,38.106,0.0
CAP-STATE-TIGHT,2028,nuclear,3.326,26.9581,0.0
CAP-STATE-TIGHT,2028,oil,2.904,0.0,0.0
CAP-STATE-TIGHT,2028,solar,1.5,2.009,0.0
CAP-STATE-TIGHT,2028,wind,2.4,5.3055,0.0
CAP-STATE-TIGHT,2029,biomass,0.384,3.098,0.0
CAP-STATE-TIGHT,2029,gas_cc,12.199,50.4713,19.187879
CAP-STATE-TIGHT,2029,gas_ct,3.034,1.2902,0.570622
CAP-STATE-TIGHT,2029,gas_st,9.373,2.4615,1.181499
CAP-STATE-TIGHT,2029,hydro,4.587,26.2129,0.0
CAP-STATE-TIGHT,2029,import,6.47,37.2798,0.0
CAP-STATE-TIGHT,2029,nuclear,3.326,26.9581,0.0
CAP-STATE-TIGHT,2029,oil,2.904,0.0,0.0
CAP-STATE-TIGHT,2029,solar,3.343,4.3233,0.0
CAP-STATE-TIGHT,2029,wind,3.4,7.5692,0.0
CAP-STATE-TIGHT,2030,biomass,0.384,3.098,0.0
CAP-STATE-TIGHT,2030,gas_cc,12.199,50.7098,18.907574
CAP-STATE-TIGHT,2030,gas_ct,3.034,0.6844,0.247755
CAP-STATE-TIGHT,2030,gas_st,9.373,2.2967,1.04467
CAP-STATE-TIGHT,2030,hydro,4.587,26.2129,0.0
CAP-STATE-TIGHT,2030,import,6.47,38.106,0.0
CAP-STATE-TIGHT,2030,nuclear,3.326,26.9581,0.0
CAP-STATE-TIGHT,2030,oil,2.904,0.0,0.0
CAP-STATE-TIGHT,2030,solar,3.343,4.3233,0.0
CAP-STATE-TIGHT,2030,wind,3.4,7.5692,0.0
