case,year,zone,emissions_mt
CAP-STATE-TIGHT,2026,Capital_Hudson,9.136955
CAP-STATE-TIGHT,2026,Long_Island,1.33232
CAP-STATE-TIGHT,2026,Lower_Hudson,0.001485
CAP-STATE-TIGHT,2026,NYC,9.032748
CAP-STATE-TIGHT,2026,NYISO_external,0.0
CAP-STATE-TIGHT,2026,Upstate_West,3.656492
CAP-STATE-TIGHT,2027,Capital_Hudson,9.194291
CAP-STATE-TIGHT,2027,Long_Island,1.360032
CAP-STATE-TIGHT,2027,Lower_Hudson,0.001473
CAP-STATE-TIGHT,2027,NYC,8.366774
CAP-STATE-TIGHT,2027,NYISO_external,0.0
CAP-STATE-TIGHT,2027,Upstate_West,3.497431
CAP-STATE-TIGHT,2028,Capital_Hudson,9.193982
CAP-STATE-TIGHT,2028,Long_Island,1.36067
CAP-STATE-TIGHT,2028,Lower_Hudson,0.000928
CAP-STATE-TIGHT,2028,NYC,7.799873
CAP-STATE-TIGHT,2028,NYISO_external,0.0
CAP-STATE-TIGHT,2028,Upstate_West,3.324546
CAP-STATE-TIGHT,2029,Capital_Hudson,7.492505
CAP-STATE-TIGHT,2029,Long_Island,1.298525
CAP-STATE-TIGHT,2029,Lower_Hudson,0.001013
CAP-STATE-TIGHT,2029,NYC,7.506638
CAP-STATE-TIGHT,2029,NYISO_external,0.0
CAP-STATE-TIGHT,2029,Upstate_West,4.641318
CAP-STATE-TIGHT,2030,Capital_Hudson,8.607151
CAP-STATE-TIGHT,2030,Long_Island,1.118342
CAP-STATE-TIGHT,2030,Lower_Hudson,0.0
CAP-STATE-TIGHT,2030,NYC,5.992002
CAP-STATE-TIGHT,2030,NYISO_external,0.0
CAP-STATE-TIGHT,2030,Upstate_West,4.482505
