case,year,fuel,capacity_gw,generation_twh,emissions_mt
CES-P20+VOL-HI,2026,biomass,0.392,2.4165,0.0
CES-P20+VOL-HI,2026,gas_cc,11.199,55.1609,21.758384
CES-P20+VOL-HI,2026,gas_ct,3.054,1.4633,0.754179
CES-P20+VOL-HI,2026,gas_st,9.373,2.2866,1.178964
CES-P20+VOL-HI,2026,hydro,4.587,26.2129,0.0
CES-P20+VOL-HI,2026,import,6.47,32.3111,0.0
CES-P20+VOL-HI,2026,nuclear,3.326,26.9581,0.0
CES-P20+VOL-HI,2026,oil,2.904,0.0,0.0
CES-P20+VOL-HI,2026,solar,1.5,2.009,0.0
CES-P20+VOL-HI,2026,wind,2.4,5.3055,0.0
CES-P20+VOL-HI,2027,biomass,0.384,2.5413,0.0
CES-P20+VOL-HI,2027,gas_cc,11.199,57.2369,22.553541
CES-P20+VOL-HI,2027,gas_ct,3.034,1.4747,0.747356
CES-P20+VOL-HI,2027,gas_st,9.373,2.5977,1.292291
CES-P20+VOL-HI,2027,hydro,4.587,26.2129,0.0
CES-P20+VOL-HI,2027,import,6.47,31.6074,0.0
CES-P20+VOL-HI,2027,nuclear,3.326,26.9581,0.0
CES-P20+VOL-HI,2027,oil,2.904,0.0,0.0
CES-P20+VOL-HI,2027,solar,1.5,2.009,0.0
CES-P20+VOL-HI,2027,wind,2.4,5.3055,0.0
CES-P20+VOL-HI,2028,biomass,0.384,2.6028,0.0
CES-P20+VOL-HI,2028,gas_cc,8.199,35.0607,14.3156
CES-P20+VOL-HI,2028,gas_cc_ccs,3.0,23.0392,0.854396
CES-P20+VOL-HI,2028,gas_ct,3.034,1.4426,0.708968
CES-P20+VOL-HI,2028,gas_st,9.373,2.6415,1.315798
CES-P20+VOL-HI,2028,hydro,4.587,26.2129,0.0
CES-P20+VOL-HI,2028,import,6.47,32.5075,0.0
CES-P20+VOL-HI,2028,nuclear,3.326,26.9581,0.0
CES-P20+VOL-HI,2028,oil,2.904,0.0,0.0
CES-P20+VOL-HI,2028,solar,1.5,2.009,0.0
CES-P20+VOL-HI,2028,wind,2.4,5.3055,0.0
CES-P20+VOL-HI,2029,biomass,0.384,2.3779,0.0
CES-P20+VOL-HI,2029,gas_cc,6.199,14.6776,5.756167
CES-P20+VOL-HI,2029,gas_cc_ccs,6.0,45.2569,1.757009
CES-P20+VOL-HI,2029,gas_ct,3.034,1.1184,0.574692
CES-P20+VOL-HI,2029,gas_st,9.373,2.1919,1.110058
CES-P20+VOL-HI,2029,hydro,4.587,26.2129,0.0
CES-P20+VOL-HI,2029,import,6.47,28.9956,0.0
CES-P20+VOL-HI,2029,nuclear,3.326,26.9581,0.0
CES-P20+VOL-HI,2029,oil,2.904,0.0,0.0
CES-P20+VOL-HI,2029,solar,3.343,4.3233,0.0
CES-P20+VOL-HI,2029,wind,3.4,7.5692,0.0
CES-P20+VOL-HI,2030,biomass,0.384,2.5098,0.0
CES-P20+VOL-HI,2030,gas_cc,4.467,7.7874,3.145981
CES-P20+VOL-HI,2030,gas_cc_ccs,7.732,52.9278,2.077034
CES-P20+VOL-HI,2030,gas_ct,3.034,1.0388,0.542762
CES-P20+VOL-HI,2030,gas_st,9.373,2.0364,1.04402
CES-P20+VOL-HI,2030,hydro,4.587,26.2129,0.0
CES-P20+VOL-HI,2030,import,6.47,30.1921,0.0
CES-P20+VOL-HI,2030,nuclear,3.326,26.9581,0.0
CES-P20+VOL-HI,2030,oil,2.904,0.0,0.0
CES-P20+VOL-HI,2030,solar,3.343,4.3233,0.0
CES-P20+VOL-HI,2030,wind,3.4,7.5692,0.0
