case,year,zone,emissions_mt
CES-P20,2026,Capital_Hudson,9.223691
CES-P20,2026,Long_Island,1.340448
CES-P20,2026,Lower_Hudson,0.001627
CES-P20,2026,NYC,9.459222
CES-P20,2026,NYISO_external,0.0
CES-P20,2026,Upstate_West,3.667399
CES-P20,2027,Capital_Hudson,9.732508
CES-P20,2027,Long_Island,1.376643
CES-P20,2027,Lower_Hudson,0.002214
CES-P20,2027,NYC,9.736362
CES-P20,2027,NYISO_external,0.0
CES-P20,2027,Upstate_West,3.744221
CES-P20,2028,Capital_Hudson,5.08983
CES-P20,2028,Long_Island,0.635689
CES-P20,2028,Lower_Hudson,0.002419
CES-P20,2028,NYC,7.790162
CES-P20,2028,NYISO_external,0.0
CES-P20,2028,Upstate_West,3.676717
CES-P20,2029,Capital_Hudson,1.517435
CES-P20,2029,Long_Island,0.490173
CES-P20,2029,Lower_Hudson,0.001017
CES-P20,2029,NYC,4.339059
CES-P20,2029,NYISO_external,0.0
CES-P20,2029,Upstate_West,2.851352
CES-P20,2030,Capital_Hudson,1.236478
CES-P20,2030,Long_Island,0.48055
CES-P20,2030,Lower_Hudson,0.001042
CES-P20,2030,NYC,3.779314
CES-P20,2030,NYISO_external,0.0
CES-P20,2030,Upstate_West,1.311207
