case,year,tech,potential_mwh,delivered_mwh,curtailed_mwh,curtailment_rate
CES-T80,2026,wind,5305455.57123702,5305455.57123702,0.0,0.0
CES-T80,2026,solar,2008985.8945407898,2008985.89454079,0.0,0.0
CES-T80,2027,wind,5305455.57123702,5305455.57123702,0.0,0.0
CES-T80,2027,solar,2008985.8945407898,2008985.89454079,0.0,0.0
CES-T80,2028,wind,5305455.57123702,5305455.57123702,0.0,0.0
CES-T80,2028,solar,2008985.8945407898,2008985.89454079,0.0,0.0
CES-T80,2029,wind,7569182.70963702,7569182.709637022,0.0,0.0
CES-T80,2029,solar,4323303.492895488,4323303.492895488,0.0,0.0
CES-T80,2030,wind,7569182.70963702,7569182.709637022,0.0,0.0
CES-T80,2030,solar,4519908.752688449,4519908.752688449,0.0,0.0
