case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,emissions_mt_bau,capacity_gw_delta,generation_twh_delta,emissions_mt_delta
CARB,2026,biomass,1.047,7.1158,0.0,1.047,5.7411,0.0,0.0,1.3746999999999998,0.0
CARB,2026,coal,0.108,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0
CARB,2026,gas_cc,12.886,34.6052,12.973248,12.886,40.4186,15.617054,0.0,-5.813399999999994,-2.6438059999999997
CARB,2026,gas_ct,1.338,1.4371,0.465812,1.338,1.5384,0.529575,0.0,-0.10129999999999995,-0.06376300000000001
CARB,2026,gas_st,0.158,0.5108,0.159638,0.158,0.5158,0.161442,0.0,-0.0050000000000000044,-0.001804
CARB,2026,hydro,1.9,6.9735,0.0,1.9,6.9735,0.0,0.0,0.0,0.0
CARB,2026,import,4.41,33.1048,0.0,4.41,28.5403,0.0,0.0,4.564499999999999,0.0
CARB,2026,nuclear,3.355,26.4822,0.0,3.355,26.4822,0.0,0.0,0.0,0.0
CARB,2026,oil,5.084,0.0,0.0,5.084,0.0,0.0,0.0,0.0,0.0
CARB,2026,solar,2.7,3.252,0.0,2.7,3.252,0.0,0.0,0.0,0.0
CARB,2026,wind,1.4,3.6642,0.0,1.4,3.6642,0.0,0.0,0.0,0.0
REF,2026,biomass,1.047,5.7411,0.0,1.047,5.7411,0.0,0.0,0.0,0.0
REF,2026,coal,0.108,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0
REF,2026,gas_cc,12.886,40.4186,15.617054,12.886,40.4186,15.617054,0.0,0.0,0.0
REF,2026,gas_ct,1.338,1.5384,0.529575,1.338,1.5384,0.529575,0.0,0.0,0.0
REF,2026,gas_st,0.158,0.5158,0.161442,0.158,0.5158,0.161442,0.0,0.0,0.0
REF,2026,hydro,1.9,6.9735,0.0,1.9,6.9735,0.0,0.0,0.0,0.0
REF,2026,import,4.41,28.5403,0.0,4.41,28.5403,0.0,0.0,0.0,0.0
REF,2026,nuclear,3.355,26.4822,0.0,3.355,26.4822,0.0,0.0,0.0,0.0
REF,2026,oil,5.084,0.0,0.0,5.084,0.0,0.0,0.0,0.0,0.0
REF,2026,solar,2.7,3.252,0.0,2.7,3.252,0.0,0.0,0.0,0.0
REF,2026,wind,1.4,3.6642,0.0,1.4,3.6642,0.0,0.0,0.0,0.0
