case,year,fuel,capacity_gw,generation_twh,emissions_mt,capacity_gw_bau,generation_twh_bau,capacity_gw_delta,generation_twh_delta
BAU,2026,coal,13.964,95.5447,100.55788,13.964,95.5447,0.0,0.0
BAU,2026,gas_cc,37.241,192.9057,77.706454,37.241,192.9057,0.0,0.0
BAU,2026,gas_ct,10.852,16.7828,7.975929,10.852,16.7828,0.0,0.0
BAU,2026,gas_st,11.296,5.0434,2.926305,11.296,5.0434,0.0,0.0
BAU,2026,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0
BAU,2026,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0
BAU,2026,solar,38.0,74.3868,0.0,38.0,74.3868,0.0,0.0
BAU,2026,wind,42.0,122.8726,0.0,42.0,122.8726,0.0,0.0
BAU,2027,coal,13.964,88.7478,93.421822,13.964,88.7478,0.0,0.0
BAU,2027,gas_cc,37.241,224.3644,91.202806,37.241,224.3644,0.0,0.0
BAU,2027,gas_ct,11.419,30.0377,15.045437,11.419,30.0377,0.0,0.0
BAU,2027,gas_st,10.85,11.5597,6.90677,10.85,11.5597,0.0,0.0
BAU,2027,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0
BAU,2027,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0
BAU,2027,solar,38.1,74.5209,0.0,38.1,74.5209,0.0,0.0
BAU,2027,wind,42.553,123.9664,0.0,42.553,123.9664,0.0,0.0
BAU,2028,coal,13.398,89.2388,93.720448,13.398,89.2388,0.0,0.0
BAU,2028,gas_cc,37.915,248.5286,101.689547,37.915,248.5286,0.0,0.0
BAU,2028,gas_ct,11.726,44.7986,23.334156,11.726,44.7986,0.0,0.0
BAU,2028,gas_st,10.85,22.211,13.560263,10.85,22.211,0.0,0.0
BAU,2028,hydro,0.546,0.4111,0.0,0.546,0.4111,0.0,0.0
BAU,2028,nuclear,4.98,38.354,0.0,4.98,38.354,0.0,0.0
BAU,2028,solar,38.1,74.8763,0.0,38.1,74.8763,0.0,0.0
