case,year,event,tech,mw,mw_bau,mw_delta
BAU,2027,retirement,coal,108.0,108.0,0.0
BAU,2027,retirement,gas_cc,2041.0688000000002,2041.0688000000002,0.0
BAU,2027,retirement,gas_st,95.82,95.82,0.0
BAU,2028,retrofit,gas_cc_ccs,2974.87296,2974.87296,0.0
BAU,2029,build,gas_ct,50.200000000000045,50.200000000000045,0.0
BAU,2029,build,solar,1089.4,1089.4,0.0
BAU,2029,build,wind,712.6,712.6,0.0
BAU,2029,retirement,gas_ct,1.638,1.638,0.0
BAU,2029,retrofit,gas_cc_ccs,2922.4251,2922.4251,0.0
BAU,2030,build,gas_cc,1000.0,1000.0,0.0
BAU,2030,build,solar,910.5999999999999,910.5999999999999,0.0
BAU,2030,build,wind,287.4,287.4,0.0
BAU,2030,retrofit,gas_cc_ccs,2905.34252,2905.34252,0.0
CES-20,2027,retirement,coal,108.0,108.0,0.0
CES-20,2027,retirement,gas_cc,2041.0688000000002,2041.0688000000002,0.0
CES-20,2027,retirement,gas_st,95.82,95.82,0.0
CES-20,2028,retrofit,gas_cc_ccs,2999.2895499999995,2974.87296,24.41658999999936
CES-20,2029,build,gas_ct,50.200000000000045,50.200000000000045,0.0
CES-20,2029,build,solar,1089.4,1089.4,0.0
CES-20,2029,build,wind,712.6,712.6,0.0
CES-20,2029,retirement,gas_ct,1.638,1.638,0.0
CES-20,2029,retrofit,gas_cc_ccs,2996.59776,2922.4251,74.17266000000018
CES-20,2030,build,gas_cc,1000.0,1000.0,0.0
CES-20,2030,build,solar,910.5999999999999,910.5999999999999,0.0
CES-20,2030,build,wind,287.4,287.4,0.0
CES-20,2030,retrofit,gas_cc_ccs,2997.19029,2905.34252,91.84776999999985
CES-40,2027,retirement,coal,108.0,108.0,0.0
CES-40,2027,retirement,gas_cc,2041.0688000000002,2041.0688000000002,0.0
CES-40,2027,retirement,gas_st,95.82,95.82,0.0
CES-40,2028,retrofit,gas_cc_ccs,2999.2816199999997,2974.87296,24.4086599999996
CES-40,2029,build,gas_ct,50.200000000000045,50.200000000000045,0.0
CES-40,2029,build,solar,1089.4,1089.4,0.0
CES-40,2029,build,wind,712.6,712.6,0.0
CES-40,2029,retirement,gas_ct,1.638,1.638,0.0
CES-40,2029,retrofit,gas_cc_ccs,2999.12793,2922.4251,76.70283000000018
CES-40,2030,build,gas_cc,1000.0,1000.0,0.0
CES-40,2030,build,solar,910.5999999999999,910.5999999999999,0.0
CES-40,2030,build,wind,287.4,287.4,0.0
CES-40,2030,retrofit,gas_cc_ccs,2998.61353,2905.34252,93.27100999999993
